StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_coded_1,intervention_coded_2,intervention_coded_same,intervention_coded,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
4/26/2021 16:25,4/26/2021 16:28,IP Address,173.187.226.219,100,151,TRUE,4/26/2021 16:28,R_3p6ajjUIurPr9sd,,,,,35.22770691,-92.3572998,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very similar,Likely different job,Slightly satisfying,Not at all satisfying,Somewhat satisfying,Teach them the trade of being distribution managers,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No,Improving economic inequality,structural
4/26/2021 16:25,4/26/2021 16:28,IP Address,98.149.74.82,100,208,TRUE,4/26/2021 16:28,R_2OGPxZ07x9vaiFZ,,,,,33.8000946,-117.9949036,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Not at all satisfying,Slightly satisfying,Not at all satisfying,provide education and training,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,no,judging groups,cultural_neg
4/26/2021 16:22,4/26/2021 16:29,IP Address,173.225.145.75,100,386,TRUE,4/26/2021 16:29,R_eDsSer3VJJnVJ3X,,,,,45.73640442,-94.165802,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Very satisfying,Slightly satisfying,Not at all satisfying,They need to pass a law making everyone equal so they can work any job without a lot of regulations.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,64,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
4/26/2021 16:26,4/26/2021 16:29,IP Address,67.83.158.146,100,202,TRUE,4/26/2021 16:29,R_2aP8fCYfPmdO508,,,,,41.14619446,-73.99659729,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Slightly satisfying,Somewhat satisfying,Not at all satisfying,Make a training program to learn how to be managers.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,"no issues, all pages loaded properly",a reflection of politics in the real world.,biological_neg
4/26/2021 16:22,4/26/2021 16:31,IP Address,216.45.53.154,100,541,TRUE,4/26/2021 16:31,R_1E6ANFjqmTrWikz,,,,,34.04849243,-118.2528992,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,Likely aquafruit farmer,Somewhat satisfying,Not at all satisfying,Very satisfying,"I would invest more money in the education system in areas that are more heavily populated by Zarpies. If their children have more access to higher quality education, then maybe they will have more opportunities later in life.",create more jobs or access to jobs,provide job training to group,FALSE,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,40,Male,,Middle Eastern or North African,,"Doctoral (Ph.D., J.D., M.D.)",Middle class,,Probably something looking at how different people view how fair the differences in opportunities for people from different socioeconomic/racial/gender... backgrounds are?,biological_neg
4/26/2021 16:21,4/26/2021 16:31,IP Address,47.205.179.35,100,653,TRUE,4/26/2021 16:31,R_ezdWptsPDv0nG0x,,,,,27.55949402,-82.3934021,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Very satisfying,"I would try and help them learn how to work as distribution mangers. Even though their hands are bigger, they still can be trained. And if they see better in water, maybe ",provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,Zarpies,Distribution manager,Learning about Zarpies and answering questions about them,Please enter your age in years:,71,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no problems,reading comprehension,biological_pos
4/26/2021 16:20,4/26/2021 16:33,IP Address,69.251.108.191,100,744,TRUE,4/26/2021 16:33,R_2wNaPDh2HS25aO3,,,,,38.58450317,-76.89409637,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Extremely satisfying,Somewhat satisfying,Not at all satisfying,I would have the zarpie's pay increased for a limited time while working as distribution managers.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,biological_pos
4/26/2021 16:30,4/26/2021 16:35,IP Address,108.4.69.49,100,344,TRUE,4/26/2021 16:35,R_27Dt7kX0fmTYDVk,,,,,37.51150513,-77.56620026,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Not at all satisfying,I would get the Vawns to teach the Zarpies the skills of a distribution manager. I think educating them about a different way of life could encourage some to pursue other careers. ,change group beliefs/culture,provide job training to group,FALSE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,51,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,n/a,I am not sure. Maybe find a correlation between class and work. ,cultural_pos
4/26/2021 16:31,4/26/2021 16:37,IP Address,68.34.28.219,100,329,TRUE,4/26/2021 16:37,R_1Ny9PwkhDm0g9QV,,,,,42.33439636,-83.17559814,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would change the hiring policy for distribution managers to make sure at least 25% of the workforce is Zarpies. ,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,23,Female,,South or Southeast Asian,,Some college,Middle class,,,cultural_neg
4/26/2021 16:32,4/26/2021 16:37,IP Address,71.254.204.156,100,292,TRUE,4/26/2021 16:37,R_UoKCHmI26Vpm5FL,,,,,40.17880249,-77.00469971,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would give them high paying jobs in the distribution business as well as job training.,"change job wages, value, hours, work",create more jobs or access to jobs,FALSE,ambiguous,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Female,,"White, Caucasian, or European American,Middle Eastern or North African",,"Bachelor's (B.A., B.S.)",Poor,"no, no",data gathering,biological_pos
4/26/2021 16:35,4/26/2021 16:39,IP Address,24.18.153.117,100,211,TRUE,4/26/2021 16:39,R_vuTIskyzTtmrN6h,,,,,47.32359314,-122.3186951,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would lessen the amount of paperwork required for Zarpies to work as distribution managers. That seems to be a big hangup. I would just try and streamline what I could.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
4/26/2021 16:36,4/26/2021 16:40,IP Address,160.3.215.158,100,227,TRUE,4/26/2021 16:40,R_2bIYRfvNPcqryY2,,,,,33.64649963,-96.61319733,anonymous,EN,I do consent to participate,Okay,,A little good,Equally similar and different,Likely different job,Not at all satisfying,Not at all satisfying,Somewhat satisfying,Provide training for the Zarpies in how to be a distribution manager while providing training for the V's in equality.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,Zarpies,"Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,51,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,no,,cultural_neg
4/26/2021 16:36,4/26/2021 16:40,IP Address,199.255.69.217,100,239,TRUE,4/26/2021 16:40,R_1LHCYnQHTrlJjey,,,,,36.67390442,-88.42539978,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,I would explain to them the benefits of distribution management  and ask them what they want/,change group beliefs/culture,change group beliefs/culture,TRUE,change group beliefs/culture,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"No everything made sense and it as easy to do, I felt a little less confident when it came to answering the ""1 thing I would do"" question because it seems like a pretty simple and direct task to get the varpies to change jobs.",I'm not for sure really,cultural_pos
4/26/2021 16:37,4/26/2021 16:41,IP Address,75.132.176.211,100,247,TRUE,4/26/2021 16:41,R_eh2iqPY9VO8emLD,,,,,38.56820679,-89.89649963,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Find other ways to harvest the aquafruit so that Zarpies can do other jobs.,other,create more jobs or access to jobs,FALSE,other,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,Whether people should be lumped into doing one thing or have the opportunity to do other things.,biological_pos
4/26/2021 16:30,4/26/2021 16:42,IP Address,68.171.91.170,100,726,TRUE,4/26/2021 16:42,R_2U3N8cjDsjF5MOS,,,,,36.2467041,-93.10540009,anonymous,EN,I do consent to participate,Okay,,A little good,Very similar,For sure aquafruit farmer,Not at all satisfying,Not at all satisfying,Very satisfying,Train Zarpies to learn the management skills they need to know.,provide job training to group,provide job training to group,TRUE,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,"White, Caucasian, or European American",,Some college,Working class,"I think it was fine, but I've done similar studies, so perhaps weeding us out a little beforehand. Doesn't help me any, but it's honset",Current socio-economic challenges.,biological_neg
4/26/2021 16:35,4/26/2021 16:45,IP Address,24.155.48.156,100,596,TRUE,4/26/2021 16:45,R_1dhL02bZ7u88dpA,,,,,27.67759705,-97.36509705,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would see who would be interested in doing the work of a distribution manager and offer training.  This training scheme would help them familiarize themselves with the job and what it entails.  Education is key.  Then the Zarpies would be more equipped to have a choice as to what they want to do.,provide job training to group,provide job training to group,TRUE,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Male,,"White, Caucasian, or European American",,Some college,Middle class,No problems,Profiling people?,biological_neg
4/26/2021 16:42,4/26/2021 16:46,IP Address,73.134.223.36,100,212,TRUE,4/26/2021 16:46,R_bg3xTgcx43uC4Y9,,,,,39.32980347,-76.63500214,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Somewhat satisfying,promise them better pay than they currently make if they change jobs,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural_pos
4/26/2021 16:44,4/26/2021 16:47,IP Address,68.8.163.160,100,184,TRUE,4/26/2021 16:47,R_3PcKJwnOu5iHRk4,,,,,32.71040344,-117.0527954,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Slightly satisfying,Somewhat satisfying,Not at all satisfying,Make the paperwork process easier to complete for Zarpies so they could qualify for the distribution manager position.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No issues,Thoughts about different social groups.,structural
4/26/2021 16:48,4/26/2021 16:51,IP Address,184.57.164.219,100,127,TRUE,4/26/2021 16:51,R_2B4nI2RN5fMsEY7,,,,,39.71679688,-84.15750122,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat similar,Likely different job,Extremely satisfying,Very satisfying,Slightly satisfying,I would let younger Zarpies have a scholarship program to learn to be managers. Maybe promote it in schools while young as well.,provide job training to group,provide job training to group,TRUE,provide job training to group,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural_pos
4/26/2021 16:47,4/26/2021 16:51,IP Address,71.71.48.245,100,223,TRUE,4/26/2021 16:51,R_27QdIXOpWwiJhJr,,,,,35.82200623,-80.2614975,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,Pay for their training.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,Some college,Working class,no,I have no idea.,cultural_neg
4/26/2021 16:50,4/26/2021 16:54,IP Address,75.32.5.219,100,236,TRUE,4/26/2021 16:54,R_3DjsNcbeRHfDvvt,,,,,32.96359253,-96.74680328,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,For sure different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Make sure they do not have to fill out complicated applications for this work compared to the others.,create more jobs or access to jobs,create more jobs or access to jobs,TRUE,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,47,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
4/26/2021 16:52,4/26/2021 16:57,IP Address,174.246.0.162,100,342,TRUE,4/26/2021 16:57,R_SUAAEIbbEH2ak4V,,,,,47.6631012,-122.3029022,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Slightly satisfying,Not at all satisfying,I think I would add more education and training for the Zarpies so that they can feel suited for the job and be hired.,provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,66,Female,,"White, Caucasian, or European American",,Some college,Working class,no,To see whether people think the poor could raise themselves into another upper class or job.,biological_pos
4/26/2021 16:51,4/26/2021 16:58,IP Address,73.189.143.60,100,427,TRUE,4/26/2021 16:58,R_2zCKApljGIvxWNy,,,,,37.98609924,-122.5688019,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,Likely different job,Somewhat satisfying,Not at all satisfying,Somewhat satisfying,"Create public schools to train distribution managers, and that admit Zarpies.",provide job training to group,provide job training to group,TRUE,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,None.,Perceptions of social inequality and thoughts about helping disadvantaged groups.,biological_neg
4/26/2021 16:54,4/26/2021 17:02,IP Address,73.69.45.121,100,522,TRUE,4/26/2021 17:02,R_2sZ166dcvdtuggE,,,,,41.71110535,-70.48870087,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Not at all satisfying,Somewhat satisfying,Offer the Zarpies bonuses or supplemental income if they will switch jobs.,"change job wages, value, hours, work","change job wages, value, hours, work",TRUE,"change job wages, value, hours, work",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,,,biological_neg
