StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,pref_predict,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_coded,intervention_diff,check_group,check_job,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
3/13/2021 19:31,3/13/2021 19:34,IP Address,74.77.62.153,100,214,TRUE,3/13/2021 19:34,R_2xVLo18Yq3GgknO,,,,,42.91020203,-78.66249847,anonymous,EN,I do consent to participate,Not okay,A little bad,,Equally similar and different,Likely no,Likely aquafruit farmer,Somewhat satisfying,Somewhat satisfying,Somewhat satisfying,"I would start an ""affirmative action"" to require ( or encourage) hiring Zarpies as distributors.",create more jobs or access to jobs,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,27,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Prefer not to specify,,,biological_pos
3/13/2021 19:30,3/13/2021 19:35,IP Address,108.217.81.174,100,275,TRUE,3/13/2021 19:35,R_24o8tNAuU2DJPDZ,,,,,26.41220093,-80.08750153,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,For sure no,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,Provide government assistance/tax breaks to any businesses that hire Zarpies as distribution managers.,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,36,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,No issues,To see what we thought of social inequality in a far away place.,structural
3/13/2021 19:29,3/13/2021 19:35,IP Address,173.172.83.15,100,352,TRUE,3/13/2021 19:35,R_1nW5yLiGiQ5jLD3,,,,,39.05369568,-94.59059906,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely no,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Not at all satisfying,I would have a pill made that would keep the Zarpies from getting sick when they travel,target group biology,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,48,Male,,"White, Caucasian, or European American",,High school/GED,Poor,"No, everything went fine and no issues.",If certain groups are locked into certain jobs,biological_neg
3/13/2021 19:30,3/13/2021 19:36,IP Address,174.247.250.70,100,333,TRUE,3/13/2021 19:36,R_1oHYQbXVQqVHxe4,,,,,34.85040283,-92.4088974,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely no,Likely different job,Not at all satisfying,Somewhat satisfying,Slightly satisfying,Create a incentive for hiring one at the distribution center,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,35,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,biological_pos
3/13/2021 19:29,3/13/2021 19:36,IP Address,107.4.223.168,100,439,TRUE,3/13/2021 19:36,R_3fql6m9FVPtSxWP,,,,,45.04350281,-93.48269653,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very different,Likely no,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would create programs that would allow Zarpies to have a simple process in getting distribution manager work. ,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,32,Male,,South or Southeast Asian,,"Bachelor's (B.A., B.S.)",Working class,,,structural
3/13/2021 19:30,3/13/2021 19:36,IP Address,73.55.26.61,100,347,TRUE,3/13/2021 19:36,R_1QotKSGnGkvnsIg,,,,,27.32539368,-82.47329712,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Very similar,For sure no,For sure different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would make a Zarpie a manager of his own distribution site to run and hire as he see's fit.,other,Very easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,66,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,No,"""ZLM"" Zarpie Lives Matter!",biological_neg
3/13/2021 19:33,3/13/2021 19:37,IP Address,24.35.214.239,100,238,TRUE,3/13/2021 19:37,R_2EAaE728lqh8ohe,,,,,35.09840393,-91.91429901,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely no,Likely different job,Not at all satisfying,Not at all satisfying,Somewhat satisfying,Make sure that the vawns are okay with zarpies becoming distriubtion managers and that they are equiped with the skills needed.,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,29,Male,,"White, Caucasian, or European American",,Some college,Working class,,Thoughts on different social groups.,cultural_pos
3/13/2021 19:35,3/13/2021 19:37,IP Address,72.193.68.167,100,159,TRUE,3/13/2021 19:37,R_3QMGdlcf1gEXhiH,,,,,36.1289978,-115.2764969,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely no,Likely different job,Extremely satisfying,Slightly satisfying,Not at all satisfying,Create a training program showing the differences and benefits of a career change,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,45,Male,,"White, Caucasian, or European American",,Some college,Middle class,,,cultural_neg
3/13/2021 19:31,3/13/2021 19:38,IP Address,184.164.160.75,100,383,TRUE,3/13/2021 19:38,R_eyDkGlAsNLtBVap,,,,,25.78729248,-80.15640259,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely yes,For sure different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would offer training to those Zarpies who want to become distribution managers,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,45,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,No,Perception on certain groups and the jobs they do,cultural_neg
3/13/2021 19:36,3/13/2021 19:38,IP Address,73.75.226.214,100,111,TRUE,3/13/2021 19:38,R_28RGcN7mwPtx91L,,,,,41.92149353,-87.64459991,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,For sure no,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,make the process easier for them to apply,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
3/13/2021 19:30,3/13/2021 19:38,IP Address,96.28.214.181,100,456,TRUE,3/13/2021 19:38,R_2YXQup5t3aiH4gg,,,,,38.05380249,-83.93859863,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Somewhat different,Likely no,For sure different job,Extremely satisfying,Very satisfying,Not at all satisfying,I would take a Zarpie on a day with a distribution manager so they could see exactly what was done and how they word and see if they would change their mind.,change group beliefs/culture,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,44,Male,,"White, Caucasian, or European American",,Some college,Working class,No,How I thought about the groups doing the work they done because of the way they are.,cultural_neg
3/13/2021 19:31,3/13/2021 19:38,IP Address,68.69.252.172,100,400,TRUE,3/13/2021 19:38,R_1hzrYlapy3ZcJvL,,,,,46.85240173,-96.81210327,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Somewhat similar,Likely yes,Likely aquafruit farmer,Very satisfying,Very satisfying,Very satisfying,"Train them to be a distribution manager, then have the work closely along side a skilled distribution manager.",provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,54,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,None,Studying different working classes.,biological_neg
3/13/2021 19:31,3/13/2021 19:38,IP Address,174.18.99.176,100,413,TRUE,3/13/2021 19:38,R_1Ltbk233P8Wgy5B,,,,,32.25059509,-110.8840027,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very similar,Likely no,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,Make a requirement that a certain amount of Zarpies will be hired as distribution managers. Like affirmative action.,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,70,Male,,"White, Caucasian, or European American",,Some college,Working class,none,To see if I felt it was fair that one group gets more chances than another group.,structural
3/13/2021 19:31,3/13/2021 19:38,IP Address,104.218.66.7,100,421,TRUE,3/13/2021 19:38,R_2xGe2LbltKoomJR,,,,,40.78419495,-96.64610291,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Somewhat different,Likely no,Likely aquafruit farmer,Extremely satisfying,Slightly satisfying,Not at all satisfying,"Allow Zarpies to learn how to figure numbers, perform the duties of the job, and to work at their own pace until they get the required skills to be effective distribution managers.",provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,"How a person determines a group's qualification based on information presented about that group, and whether previous ideals such as ""equity/equality for all"" still hold when given information that one group IS more qualified to do a job and that another group could be potentially injured or ill by doing a certain job.",biological_neg
3/13/2021 19:35,3/13/2021 19:38,IP Address,24.181.209.255,100,164,TRUE,3/13/2021 19:38,R_1hYKOaNOZ64hBQG,,,,,35.50549316,-82.99120331,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,For sure no,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,I would put employment quotas in place to give them the opportunity to do other jobs,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,20,Male,,"White, Caucasian, or European American",,Some college,Poor,,,biological_pos
3/13/2021 19:31,3/13/2021 19:39,IP Address,24.49.215.75,100,467,TRUE,3/13/2021 19:39,R_3dEWc4j7XlQtCMI,,,,,34.61959839,-98.45429993,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely no,Likely different job,Very satisfying,Slightly satisfying,Not at all satisfying,Require quotas for distribution managers.,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,61,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural_pos
3/13/2021 19:32,3/13/2021 19:39,IP Address,12.0.64.213,100,444,TRUE,3/13/2021 19:39,R_2dGDzh2PoKZXmZ2,,,,,37.8374939,-120.1035004,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely no,Likely different job,Not at all satisfying,Not at all satisfying,Somewhat satisfying,Make papetwork to become distribution managers straightforward and free ,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,64,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,Why did expensive complex paperwork exist,Systemic racism ,structural
3/13/2021 19:32,3/13/2021 19:40,IP Address,75.136.141.155,100,468,TRUE,3/13/2021 19:40,R_QozDzrEuHdYE4UN,,,,,34.52510071,-82.63069916,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely no,Likely different job,Not at all satisfying,Slightly satisfying,Slightly satisfying,Provide conditions that are better suited for them. I would make it so they are an indoor environment that will not be so hard on their skin.,change job conditions,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,34,Male,,Black or African American,,Some college,Working class,None,How do individuals perceive situations of inequality when there are factors behind those limits?,biological_neg
3/13/2021 19:30,3/13/2021 19:40,IP Address,70.127.142.215,100,618,TRUE,3/13/2021 19:40,R_1GO17dcnb9io5o9,,,,,27.84069824,-82.71549988,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very different,For sure no,For sure different job,Extremely satisfying,Very satisfying,Not at all satisfying,"I would start an apprentice program that Zarpies could apply for, and select those who might be best qualified to participate in the apprentice program.  Ideally, it would be younger Zarpies who were wanting to expand their horizons rather than to just fall into the routine of becoming an aquafruit farmers.  ",provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,70,Female,,"White, Caucasian, or European American",,Some college,Middle class,No problems or confusion  -- all was very clear.,Perhaps to gain thoughts from participants on the feasibility of training a group of people who are skilled at a particular job to learn and engage in a different job.(???),biological_pos
3/13/2021 19:38,3/13/2021 19:41,IP Address,174.232.14.148,100,140,TRUE,3/13/2021 19:41,R_2qaWpUV38LFB8hu,,,,,41.38439941,-81.70030212,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely no,Likely different job,Slightly satisfying,Slightly satisfying,Extremely satisfying,Educate them on business and distribution strategies ,change group beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,42,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,,,cultural_pos
3/13/2021 19:30,3/13/2021 19:41,IP Address,207.244.71.79,100,667,TRUE,3/13/2021 19:41,R_25XxPkno9sBBM66,,,,,37.75100708,-97.8219986,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Somewhat different,Likely no,Likely aquafruit farmer,Slightly satisfying,Extremely satisfying,Slightly satisfying,I would improve transport conditions so the Zarpies do not get tired during distribution ,change job conditions,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,31,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,,,biological_neg
3/13/2021 19:34,3/13/2021 19:41,IP Address,72.202.158.203,100,434,TRUE,3/13/2021 19:41,R_3qR6Zhs5Upk6jQ8,,,,,37.66870117,-97.22170258,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely no,Likely aquafruit farmer,Not at all satisfying,Not at all satisfying,Not at all satisfying,Train and mentally prepare them to become distribution managers,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,60,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"There were no problems with the survey, technical or otherwise.  ",How people/entities can be stuck in one way of making a living,cultural_neg
3/13/2021 19:39,3/13/2021 19:43,IP Address,24.190.235.152,100,255,TRUE,3/13/2021 19:43,R_vAergGCdXnXav97,,,,,40.67630005,-73.94920349,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very different,Likely no,Likely different job,Slightly satisfying,Somewhat satisfying,Somewhat satisfying,I would allow Zarpies to wear some kind of body suit that will keep their skin from drying out when they are on land for long periods of time.,target group biology,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,37,Male,,East Asian,,"Master's (M.A., M.S.)",Middle class,,,biological_neg
3/13/2021 19:39,3/13/2021 19:46,IP Address,67.164.73.249,100,419,TRUE,3/13/2021 19:46,R_b48Jn5uYDQCsr17,,,,,37.76179504,-121.9132996,anonymous,EN,I do consent to participate,Not okay,A little bad,,Equally similar and different,Likely no,Likely different job,Slightly satisfying,Slightly satisfying,Somewhat satisfying,Make the paperwork less burdensome for the Zarpies to get the job. ,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,58,Female,,East Asian,,"Master's (M.A., M.S.)",Middle class,,,structural
3/13/2021 19:30,3/13/2021 19:48,IP Address,108.39.109.86,100,1083,TRUE,3/13/2021 19:48,R_3sabPT8Mtg8Aa5k,,,,,37.11000061,-76.5114975,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely no,For sure different job,Slightly satisfying,Somewhat satisfying,Slightly satisfying,I would have classes for learning how to advance in management to offer for them. ,provide job training to group,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,34,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,No. None.,To see your views on different classes of society. ,biological_pos
3/13/2021 19:29,3/13/2021 19:48,IP Address,71.115.216.209,100,1151,TRUE,3/13/2021 19:48,R_3rTy0bxff6uyanx,,,,,43.04179382,-76.22380066,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely yes,Likely aquafruit farmer,Extremely satisfying,Somewhat satisfying,Not at all satisfying,I would have a Zarpie shadow a Distribution Manager so they can see exactly what is done in that role. They may find out it is not that bad.,change group beliefs/culture,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,51,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural_neg
3/13/2021 19:32,3/13/2021 19:51,IP Address,73.129.68.67,100,1124,TRUE,3/13/2021 19:51,R_1OZdLaSodFUpJEw,,,,,38.91720581,-77.07089996,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely no,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,Set up a program to encourage Zarpies to apprentice with a distribution company by training them in how to do this work.,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,61,Female,,"White, Caucasian, or European American",,Some college,Working class,Everything was understandable and clear.,"Stereotypes about members of different social groups, especially related to employment capabilities.",biological_pos
