StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,possibility_change_y,possibility_change_n,normativity_fc,normativity_notOkay,normativity_okay,switched_context_fc,switched_context_1,switched_context_2,intervention,intervention_diff,check_normativity,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
2020-11-13 19:34:35,2020-11-13 19:38:01,IP Address,45.24.161.114,100,206,True,2020-11-13 19:38:01,R_3nIRIf5pLCCuUGq,,,,,35.8025054931640625,-78.6405029296875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,give them medicine to make the okinberries edible,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,28,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,internalist_biological
2020-11-13 19:34:01,2020-11-13 19:38:02,IP Address,108.28.165.217,100,241,True,2020-11-13 19:38:02,R_2yrSMHG6uLrGlFD,,,,,38.771392822265625,-77.06569671630859375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"
Okinberries",For sure okinberries,,Have them brought to their side of the planet,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,40,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,structural
2020-11-13 19:35:33,2020-11-13 19:38:11,IP Address,97.104.24.27,100,157,True,2020-11-13 19:38:11,R_TixxZOXh9h8Q0Nj,,,,,29.5554046630859375,-81.220703125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,A little good,"
Okinberries",For sure okinberries,,Allow okinberries to grow everywhere on the planet instead of a certain hemisphere.,Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,29,Male,,East Asian,,"Master's (M.A., M.S.)",Working class,,,,structural
2020-11-13 19:33:58,2020-11-13 19:38:12,IP Address,67.158.39.95,100,254,True,2020-11-13 19:38:13,R_29uhAdrwAYPdX6b,,,,,44.005096435546875,-103.366302490234375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,Pretty good,"

Pogoberries",,For sure pogoberries,Teach the Zarpies it's okay to eat okinberries.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,45,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,No,No,Interesting,internalist_cultural
2020-11-13 19:34:13,2020-11-13 19:38:13,IP Address,73.151.89.6,100,240,True,2020-11-13 19:38:13,R_1Nkb1Nlh6scXtXy,,,,,37.978607177734375,-121.314697265625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,Change their biology to accommodate okinberries,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,,internalist_biological
2020-11-13 19:34:22,2020-11-13 19:38:25,IP Address,73.135.17.30,100,243,True,2020-11-13 19:38:26,R_2R4k5CEtCQYWyk4,,,,,39.3361053466796875,-76.53890228271484375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,"I would make it so the Zarpie would not get sick from eating the different berry, while still making sure that it got the sufficient nutrients needed to survive off of said berry.",Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Male,,"White, Caucasian, or European American",,High school/GED,Working class,Nope,Nope,How people judge others.,internalist_biological
2020-11-13 19:33:20,2020-11-13 19:38:29,IP Address,73.25.211.6,100,308,True,2020-11-13 19:38:29,R_1gtfUve4mZdNWbX,,,,,45.6652069091796875,-122.5214996337890625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,"invent some medicine that the Zarpies can take so they can safely eat okinberries without getting sick, maybe giving them the enzymes they need to be able to digest the okinberries.",Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,47,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,I think everything made sense,I felt like some of the questions were a little redundant.,I'm really not sure.  Maybe something about how people might come up with creative solutions to a challenging and limiting problem.,internalist_biological
2020-11-13 19:34:28,2020-11-13 19:38:30,IP Address,50.83.214.252,100,242,True,2020-11-13 19:38:31,R_1Lbzeh5LhoIZE1b,,,,,41.7740936279296875,-88.439697265625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,A little bad,,"

Pogoberries",,For sure pogoberries,Feed him small amounts at a time,Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"None, most of it was confusing by design",None,I have no idea!,internalist_cultural
2020-11-13 19:33:16,2020-11-13 19:38:34,IP Address,173.170.131.214,100,317,True,2020-11-13 19:38:35,R_2CWd9iVzhqWOzON,,,,,27.9031982421875,-82.29109954833984375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Okay,,Pretty good,"

Pogoberries",,For sure pogoberries,Plant okinberrie plants all over the plant so both species can eat them.,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,35,Female,,Hispanic or Latino/a,,Some college,Working class,no,no,making a children's book?,structural
2020-11-13 19:36:01,2020-11-13 19:38:40,IP Address,97.124.154.61,100,159,True,2020-11-13 19:38:40,R_pLSdkP3hp57OXPH,,,,,33.4803009033203125,-112.394500732421875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Zarpies",Yes,For sure yes,,Okay,,"Very, very good","

Pogoberries",,Maybe pogoberries,not sure,Somewhat difficult,Should not,"Vawns,Hibbles",Junpaberries,Writing an essay about the political views of Zarpies,27,Male,,"White, Caucasian, or European American",,Some college,Middle class,no,no,no,internalist_biological
2020-11-13 19:38:24,2020-11-13 19:38:46,IP Address,174.28.224.48,100,22,True,2020-11-13 19:38:47,R_1P5lFytsqDh7yRL,,,,,35.1410064697265625,-106.71099853515625,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 19:33:37,2020-11-13 19:38:49,IP Address,73.187.102.199,100,311,True,2020-11-13 19:38:49,R_3puvgzUHCnzPs5I,,,,,40.7957000732421875,-77.8618011474609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,A little bad,,"

Pogoberries",,For sure pogoberries,show that they are not unlucky,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,61,Male,,"White, Caucasian, or European American",,High school/GED,Poor,,,,internalist_cultural
2020-11-13 19:33:41,2020-11-13 19:39:01,IP Address,73.175.0.76,100,320,True,2020-11-13 19:39:02,R_2SellAhyVXrpBEa,,,,,40.5991973876953125,-77.5767974853515625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,"Very, very good","
Okinberries",For sure okinberries,,Have the Zarpies move down where the okinberries are.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,51,Male,,"White, Caucasian, or European American",,Some college,Middle class,no problems,no,How much i pay attention.,structural
2020-11-13 19:35:56,2020-11-13 19:39:13,IP Address,208.87.234.180,100,196,True,2020-11-13 19:39:14,R_2ebgrNvykAfCtrX,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,"Very, very good","

Pogoberries",,Maybe pogoberries,Import,Very difficult,Should,"Zarpies,Vawns","Pogoberries,Hilaberries",Learning about Zarpies and answering questions about them,32,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,no,higher pay,no idea,structural
2020-11-13 19:33:10,2020-11-13 19:39:55,IP Address,162.227.49.254,100,404,True,2020-11-13 19:39:56,R_1QrzRDloN2trXNa,,,,,34.8296051025390625,-86.74539947509765625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,A little good,"

Pogoberries",,Maybe pogoberries,"Make them tasty to the Zarpies ",Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"Yes, the questions wether or not they should eat the berries. There's not enough information to make that decision. ",Make something more specific on the reason why they can't eat the berries.,"no clue. ",internalist_cultural
2020-11-13 19:33:48,2020-11-13 19:40:00,IP Address,68.40.247.84,100,372,True,2020-11-13 19:40:01,R_2Y5hyEMwTdE8K5Y,,,,,42.253204345703125,-84.38770294189453125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"

Pogoberries",,Maybe pogoberries,I would make sure okinberries were available where the Zarpies live.,Somewhat easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,59,Female,,"White, Caucasian, or European American",,Some college,Working class,No,Nothing I can think of.,Differences between species on other planets and how we react to them maybe?,structural
2020-11-13 19:34:43,2020-11-13 19:40:13,IP Address,98.14.147.148,100,329,True,2020-11-13 19:40:13,R_2ciu4x768zADocd,,,,,40.7364044189453125,-73.86949920654296875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"

Pogoberries",,Maybe pogoberries,travel to the other side maybe they have okinberries there,Somewhat easy,Should not,Zarpies,"Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,32,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,,structural
2020-11-13 19:40:07,2020-11-13 19:40:22,IP Address,40.133.162.62,100,14,True,2020-11-13 19:40:22,R_3exVeqsYgqvnGDc,,,,,41.3721923828125,-82.10870361328125,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 19:36:40,2020-11-13 19:40:32,IP Address,208.63.89.209,100,231,True,2020-11-13 19:40:33,R_Twmg7esZfQLCXBf,,,,,31.2200927734375,-82.3551025390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,"Make it so they don't get sick when eating. ",Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White, Caucasian, or European American",,Some college,Working class,No.,No,"How well we understand from reading a story. ",internalist_biological
2020-11-13 19:34:35,2020-11-13 19:40:43,IP Address,69.137.76.125,100,368,True,2020-11-13 19:40:43,R_Yc7KsYSzMMUILJL,,,,,35.8437042236328125,-86.38809967041015625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,I would alter the berry so it wouldn't make him sick.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,none,nothing,reading comprehension and understanding right and wrong,internalist_biological
2020-11-13 19:37:15,2020-11-13 19:40:46,IP Address,47.27.126.234,100,210,True,2020-11-13 19:40:46,R_3Dwp94077e1bwQW,,,,,35.5962066650390625,-81.03389739990234375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Okay,,A little good,"

Pogoberries",,For sure pogoberries,I would provide the resources for okinberries to harvest in the area the zarpies live.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,33,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,n/a,no,I dont know,structural
2020-11-13 19:35:02,2020-11-13 19:40:59,IP Address,47.6.190.95,100,357,True,2020-11-13 19:41:00,R_vTSvcLXB4otqmeR,,,,,36.3000946044921875,-119.1295013427734375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,i would tell them that it is not bad luck to eat okinberries. that it is good for you.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,"no, the instructions were clear.",more information per slide,how you view two different people and their culture.,internalist_cultural
2020-11-13 19:33:13,2020-11-13 19:41:00,IP Address,76.20.77.141,100,467,True,2020-11-13 19:41:00,R_1qb3Zih6DBIe84P,,,,,36.75390625,-119.70849609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,A little bad,,"
Okinberries",For sure okinberries,,I would start planting extra okinberries due to crop failure of pogoberries.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,68,Male,,Black or African American,,Some college,Working class,Everything is going just fine so far.,It's pretty straight forward as it is.,Kid friendly.,internalist_cultural
2020-11-13 19:33:10,2020-11-13 19:41:11,IP Address,24.91.31.117,100,481,True,2020-11-13 19:41:12,R_1dn2ext0pBZKayd,,,,,42.3654022216796875,-72.46710205078125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Zarpies",No,,Maybe no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,I would invent a special pill that would allow Zarpies to eat okinberries without any adverse effect.,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,62,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,No  problems,"Nothing that I can think of ",to help understand how to deal with things that could be harmful .,internalist_biological
2020-11-13 19:36:36,2020-11-13 19:41:11,IP Address,73.88.9.215,100,275,True,2020-11-13 19:41:13,R_3CJn3i5K3Jf809o,,,,,44.9709930419921875,-93.04979705810546875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,Pretty good,"
Okinberries",For sure okinberries,,The Zarpies could ask the monsters that live on the other half of the planet to help them.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,31,Female,,"White, Caucasian, or European American",,Some college,Working class,,,,structural
