StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,possibility_change_y,possibility_change_n,normativity_fc,normativity_notOkay,normativity_okay,switched_context_fc,switched_context_1,switched_context_2,intervention,intervention_coded,intervention_diff,check_group,check_job,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
3/1/2021 21:51,3/1/2021 21:55,IP Address,73.40.42.245,100,259,TRUE,3/1/2021 21:55,R_Y9zChXM8Dlvkl6V,,,,,38.65480042,-78.45960236,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,I would pay Zarpies more as grocers than aquafruit farmers. ,change wages or value,Very easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,46,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,cultural
3/1/2021 21:50,3/1/2021 21:55,IP Address,207.235.121.86,100,313,TRUE,3/1/2021 21:55,R_WDQCyafD6VirDYB,,,,,30.01780701,-97.1493988,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Zarpies",Yes,For sure yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Eliminate the paperwork required for the Zarpies to work as grocers. ,create more jobs or access to jobs,Very easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,45,Female,,"White, Caucasian, or European American",,High school/GED,Working class,The terrafruit--I thought it was typo so I selected Zarpies instead of Vawns. ,,Equality,structural
3/1/2021 21:50,3/1/2021 21:55,IP Address,98.144.66.167,100,320,TRUE,3/1/2021 21:55,R_22CRsrD5mNl8tZu,,,,,43.06480408,-88.09449768,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Zarpies",Yes,Maybe yes,,Okay,,"Very, very good",Grocer,Maybe grocer,,I would fill out the paperwork needed by the government so that the Zarpies can be grocers.,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,22,Male,,"White, Caucasian, or European American",,Some college,Middle class,I had no problems with the survey and did not find anything too confusing.,I enjoyed the story and I didn't see anything that needed to be changed or improved.,I think this study was about groups being discriminated against and people's opinions on the situation.,structural
3/1/2021 21:51,3/1/2021 21:56,IP Address,108.218.177.164,100,274,TRUE,3/1/2021 21:56,R_vV6Mflm4AsEm1BD,,,,,33.90750122,-117.7865982,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,Pretty good,Aquafruit farmer,,Maybe aquafruit farmer,Give them better wages and more incentive to become grocers.,change wages or value,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,33,Male,,South or Southeast Asian,,"Master's (M.A., M.S.)",Middle class,,,,cultural
3/1/2021 21:51,3/1/2021 21:57,IP Address,75.138.47.45,100,369,TRUE,3/1/2021 21:57,R_2U2XR9bx6tziUTd,,,,,34.27589417,-86.20449829,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,A little good,Aquafruit farmer,,Maybe aquafruit farmer,I would encourage them to work as grocers because farming is unsafe. I would give them more pay than they get as farmers.,change wages or value,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,26,Female,,"White, Caucasian, or European American",,Some college,Working class,No everything was fine,N/A,About reading and learning of new stories ,cultural
3/1/2021 21:51,3/1/2021 21:57,IP Address,71.33.192.5,100,356,TRUE,3/1/2021 21:57,R_UlrFwXW8uLIvCyR,,,,,39.73010254,-104.9077988,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,Pretty good,Grocer,Maybe grocer,,I would set up a free training program to teach the Zarpies how to be grocers.,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,53,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,cultural
3/1/2021 21:53,3/1/2021 21:58,IP Address,65.31.130.79,100,252,TRUE,3/1/2021 21:58,R_1eJKxIYawmCY4Pu,,,,,43.04750061,-87.89640045,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,I would provide them a training course so they would be well prepared to carry out their new task.,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,40,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,no,no,How to help a disadvantaged group move up in society.,structural
3/1/2021 21:52,3/1/2021 21:59,IP Address,73.1.160.135,100,449,TRUE,3/1/2021 21:59,R_1gHeZbfiUXFnaCN,,,,,26.14810181,-80.20880127,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Grocer,Maybe grocer,,I would market them as being extremely knowledgeable about fruits and nature. I would impress upon the management who hires the importance of the assets Zarpies bring to the job.   ,other,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,64,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No issues.,I think this was great.,How society tends to box certain people in certain places without giving them opportunities to excel in other areas.,biological
3/1/2021 21:53,3/1/2021 22:00,IP Address,162.154.161.117,100,418,TRUE,3/1/2021 22:00,R_yOo8yGSKfcr7TEJ,,,,,39.0453949,-82.64179993,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,I would make it to where it was easier for the Zarpies to work other jobs by making them have to fill out less paperwork.,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,21,Female,,"White, Caucasian, or European American",,High school/GED,Working class,,,,structural
3/1/2021 21:56,3/1/2021 22:00,IP Address,73.37.143.103,100,215,TRUE,3/1/2021 22:00,R_8xemDUnZSa9F0Pf,,,,,45.1289978,-93.37529755,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,I would get rid of the law that requires complex paperwork for Zarpies to apply for grocer jobs and instead instate policies that makes it the same as it is for Vawps.,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,,structural
3/1/2021 21:55,3/1/2021 22:01,IP Address,68.7.236.22,100,363,TRUE,3/1/2021 22:01,R_1i4JoOOI2qaHSh3,,,,,32.67730713,-117.047699,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,Pretty good,Aquafruit farmer,,Maybe aquafruit farmer,Zarpies can try harvesting other fruit and being their own grocers for them.,other,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,27,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,Prefer not to specify,Nothing was particularly confusing.,The last major question was kind of hard to answer since it was so open-ended and we don't really have a good basis of the kind of world they inhabit.,,cultural
3/1/2021 21:58,3/1/2021 22:01,IP Address,172.115.79.43,100,167,TRUE,3/1/2021 22:01,R_9QRSrv7KPNiud5T,,,,,34.01210022,-117.6883011,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Offer them aquafruit and wages in return if they worked as grocers.,change wages or value,Very easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,26,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,,cultural
3/1/2021 21:58,3/1/2021 22:01,IP Address,216.106.30.98,100,227,TRUE,3/1/2021 22:01,R_11cryRwar1WNBvL,,,,,38.57730103,-92.24430084,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,Pretty good,Aquafruit farmer,,Maybe aquafruit farmer,Have the Zarpies sell more specialty products than Vawn grocers.,other,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,30,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,,biological
3/1/2021 21:57,3/1/2021 22:02,IP Address,47.153.81.106,100,304,TRUE,3/1/2021 22:02,R_2TYRZXjPUXDd7ZJ,,,,,34.04299927,-117.7556,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,Pretty good,Grocer,Maybe grocer,,"there's no much choice, you either find a new job or die of starvation",other,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,37,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,,,biological
3/1/2021 21:51,3/1/2021 22:04,IP Address,196.17.67.249,100,779,TRUE,3/1/2021 22:04,R_22W8YoXJjGFcM7x,,,,,34.05439758,-118.2440033,anonymous,EN,I do consent to participate,No,Yes,Not okay,Not okay,"
Vawns",No,,Maybe no,Not okay,"Very, very bad",,Aquafruit farmer,,For sure aquafruit farmer,arefully outline the goal. Make sure it is specific and measurable.,other,Somewhat difficult,"Zarpies,Vawns",Aquafruit farmer,Writing an essay about the political views of Zarpies,60,Male,,"Native American, American Indian, or Alaska Native",,"Bachelor's (B.A., B.S.)",Middle class,no,yes,Comparison processing in children,structural
3/1/2021 22:00,3/1/2021 22:05,IP Address,72.85.20.32,100,304,TRUE,3/1/2021 22:05,R_1mIbfU5D4Nxr5h2,,,,,39.37330627,-76.72789764,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Teach Zarpies how to be grocers,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,66,Male,,"White, Caucasian, or European American",,"Doctoral (Ph.D., J.D., M.D.)",Middle class,No,None,Prejudices,biological
3/1/2021 21:59,3/1/2021 22:07,IP Address,104.51.223.190,100,488,TRUE,3/1/2021 22:07,R_2SiXwphkzsN6Bli,,,,,30.05160522,-95.47070313,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,For sure no,Not okay,A little bad,,Grocer,For sure grocer,,I would offer the Zarpies good wages for their work,change wages or value,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,33,Female,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Middle class,No,,Did this have to do with how immigrants are treated? ,structural
3/1/2021 21:54,3/1/2021 22:08,IP Address,73.162.101.34,100,851,TRUE,3/1/2021 22:08,R_2RPyNuCyPOkCWpJ,,,,,37.80430603,-122.2155991,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Vawns",No,,For sure no,Not okay,Pretty bad,,Aquafruit farmer,,Maybe aquafruit farmer,"Because of the loss of aquafruit, for any additional groceries that have to be brought in, the Zarpies should be the grocers to handle those.",other,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,40,Male,,East Asian,,"Master's (M.A., M.S.)",Middle class,No.,None.,Making certain social judgement about groups?,cultural
3/1/2021 22:01,3/1/2021 22:09,IP Address,66.216.205.96,100,480,TRUE,3/1/2021 22:09,R_3k5QSyg5bZx2NgZ,,,,,40.04570007,-83.07209778,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,"i would increase the amount of unemployment benefits, so that any vawns will be safe if zarpies take their jobs. This way zarpies wont feel bad about potentially taking jobs away from people.",change wages or value,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,24,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,,,,cultural
3/1/2021 22:07,3/1/2021 22:10,IP Address,75.22.103.98,100,218,TRUE,3/1/2021 22:11,R_Y38ngnq4DdGOrQZ,,,,,40.11039734,-83.11309814,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,"Very, very good",Grocer,Maybe grocer,,tell them that being a grocer is a sacred job as well,change group beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,35,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,,perceptions of groups,cultural
3/1/2021 21:50,3/1/2021 22:16,IP Address,172.58.35.167,100,1555,TRUE,3/1/2021 22:16,R_1punCM9iWmZfjbN,,,,,38.58790588,-121.405304,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,For sure no,Okay,,Pretty good,Aquafruit farmer,,For sure aquafruit farmer,I would give the zarpies free groceries to take home every day because of the inconvenience caused to them.,change wages or value,Very easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,43,Female,,"White, Caucasian, or European American",,Some college,Poor,,,,biological
3/1/2021 22:28,3/1/2021 22:31,IP Address,73.1.236.102,100,204,TRUE,3/1/2021 22:31,R_bOhdiiFjDMmVbyN,,,,,27.39370728,-80.31749725,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,I would make the paperwork process much easier for the Zarpies.,create more jobs or access to jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,38,Male,,"White, Caucasian, or European American",,Some college,Working class,None.,No.,Our thoughts on systemic racism.,structural
3/1/2021 22:31,3/1/2021 22:34,IP Address,47.35.194.33,100,217,TRUE,3/1/2021 22:34,R_27v7qKwC529PKRB,,,,,35.04600525,-81.98100281,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Offer them more money than they were making as aquafruit farmers,change wages or value,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,45,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No,No,Literally no clue,biological
3/1/2021 22:45,3/1/2021 22:51,IP Address,71.91.144.186,100,339,TRUE,3/1/2021 22:51,R_3G1HHbXXgdIzLL5,,,,,30.51159668,-92.39849854,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,Maybe no,Okay,,Pretty good,Aquafruit farmer,,For sure aquafruit farmer,make a spot for them to work and make sure they are paid fairly,change wages or value,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,24,Male,,Black or African American,,High school/GED,Working class,no,none,no idea,structural
3/1/2021 22:48,3/1/2021 22:51,IP Address,74.67.189.254,100,187,TRUE,3/1/2021 22:51,R_2Wv7cx7uKKAdMhR,,,,,43.07809448,-77.33709717,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,A little good,Aquafruit farmer,,For sure aquafruit farmer,I would explain that they need to to help their species ,change group beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,37,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No,N/A,not sure,cultural
3/1/2021 22:52,3/1/2021 22:56,IP Address,98.36.99.170,100,193,TRUE,3/1/2021 22:56,R_udYD3h4BgjTwItH,,,,,38.48190308,-121.4024048,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Vawns",No,,Maybe no,Okay,,Pretty good,Aquafruit farmer,,Maybe aquafruit farmer,it is less risky and you will be paid properly. ,other,Very easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,43,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,,,cultural
3/1/2021 23:15,3/1/2021 23:18,IP Address,208.68.246.250,100,193,TRUE,3/1/2021 23:18,R_1ieCCeiLQToloVK,,,,,32.77870178,-96.82170105,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Grocer,Maybe grocer,,Eliminate the paperwork that's currently necessary for Zarpies to become grocers.,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,39,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,,structural
