StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
2021-04-26 16:25:54,2021-04-26 16:28:25,IP Address,173.187.226.219,100,151,True,2021-04-26 16:28:25,R_3p6ajjUIurPr9sd,,,,,35.2277069091796875,-92.3572998046875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very similar,Likely different job,Slightly satisfying,Not at all satisfying,Somewhat satisfying,Teach them the trade of being distribution managers,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No,Improving economic inequality,structural
2021-04-26 16:25:16,2021-04-26 16:28:45,IP Address,98.149.74.82,100,208,True,2021-04-26 16:28:46,R_2OGPxZ07x9vaiFZ,,,,,33.8000946044921875,-117.994903564453125,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Not at all satisfying,Slightly satisfying,Not at all satisfying,provide education and training,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,no,judging groups,cultural_neg
2021-04-26 16:22:37,2021-04-26 16:29:03,IP Address,173.225.145.75,100,386,True,2021-04-26 16:29:04,R_eDsSer3VJJnVJ3X,,,,,45.7364044189453125,-94.165802001953125,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Very satisfying,Slightly satisfying,Not at all satisfying,They need to pass a law making everyone equal so they can work any job without a lot of regulations.,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,64,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
2021-04-26 16:26:12,2021-04-26 16:29:34,IP Address,67.83.158.146,100,202,True,2021-04-26 16:29:35,R_2aP8fCYfPmdO508,,,,,41.1461944580078125,-73.9965972900390625,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Slightly satisfying,Somewhat satisfying,Not at all satisfying,Make a training program to learn how to be managers.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,"no issues, all pages loaded properly",a reflection of politics in the real world.,biological_neg
2021-04-26 16:22:16,2021-04-26 16:31:17,IP Address,216.45.53.154,100,541,True,2021-04-26 16:31:18,R_1E6ANFjqmTrWikz,,,,,34.048492431640625,-118.252899169921875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,Likely aquafruit farmer,Somewhat satisfying,Not at all satisfying,Very satisfying,"I would invest more money in the education system in areas that are more heavily populated by Zarpies. If their children have more access to higher quality education, then maybe they will have more opportunities later in life.",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,40,Male,,Middle Eastern or North African,,"Doctoral (Ph.D., J.D., M.D.)",Middle class,,Probably something looking at how different people view how fair the differences in opportunities for people from different socioeconomic/racial/gender... backgrounds are?,biological_neg
2021-04-26 16:21:01,2021-04-26 16:31:55,IP Address,47.205.179.35,100,653,True,2021-04-26 16:31:55,R_ezdWptsPDv0nG0x,,,,,27.5594940185546875,-82.393402099609375,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Very satisfying,"I would try and help them learn how to work as distribution mangers. Even though their hands are bigger, they still can be trained. And if they see better in water, maybe ",Somewhat easy,Zarpies,Distribution manager,Learning about Zarpies and answering questions about them,Please enter your age in years:,71,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no problems,reading comprehension,biological_pos
2021-04-26 16:20:51,2021-04-26 16:33:16,IP Address,69.251.108.191,100,744,True,2021-04-26 16:33:16,R_2wNaPDh2HS25aO3,,,,,38.584503173828125,-76.89409637451171875,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely different job,Extremely satisfying,Somewhat satisfying,Not at all satisfying,I would have the zarpie's pay increased for a limited time while working as distribution managers.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,biological_pos
2021-04-26 16:30:02,2021-04-26 16:35:46,IP Address,108.4.69.49,100,344,True,2021-04-26 16:35:46,R_27Dt7kX0fmTYDVk,,,,,37.511505126953125,-77.56620025634765625,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Not at all satisfying,"I would get the Vawns to teach the Zarpies the skills of a distribution manager. I think educating them about a different way of life could encourage some to pursue other careers. ",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,51,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,n/a,"I am not sure. Maybe find a correlation between class and work. ",cultural_pos
2021-04-26 16:31:41,2021-04-26 16:37:11,IP Address,68.34.28.219,100,329,True,2021-04-26 16:37:11,R_1Ny9PwkhDm0g9QV,,,,,42.3343963623046875,-83.17559814453125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,"I would change the hiring policy for distribution managers to make sure at least 25% of the workforce is Zarpies. ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,23,Female,,South or Southeast Asian,,Some college,Middle class,,,cultural_neg
2021-04-26 16:32:56,2021-04-26 16:37:49,IP Address,71.254.204.156,100,292,True,2021-04-26 16:37:49,R_UoKCHmI26Vpm5FL,,,,,40.178802490234375,-77.00469970703125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely aquafruit farmer,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would give them high paying jobs in the distribution business as well as job training.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Female,,"White, Caucasian, or European American,Middle Eastern or North African",,"Bachelor's (B.A., B.S.)",Poor,"no, no",data gathering,biological_pos
2021-04-26 16:35:48,2021-04-26 16:39:20,IP Address,24.18.153.117,100,211,True,2021-04-26 16:39:20,R_vuTIskyzTtmrN6h,,,,,47.3235931396484375,-122.318695068359375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would lessen the amount of paperwork required for Zarpies to work as distribution managers. That seems to be a big hangup. I would just try and streamline what I could.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,structural
2021-04-26 16:36:18,2021-04-26 16:40:05,IP Address,160.3.215.158,100,227,True,2021-04-26 16:40:05,R_2bIYRfvNPcqryY2,,,,,33.6464996337890625,-96.61319732666015625,anonymous,EN,I do consent to participate,Okay,,A little good,Equally similar and different,Likely different job,Not at all satisfying,Not at all satisfying,Somewhat satisfying,Provide training for the Zarpies in how to be a distribution manager while providing training for the V's in equality.,Somewhat difficult,Zarpies,"Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,51,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,no,,cultural_neg
2021-04-26 16:36:13,2021-04-26 16:40:13,IP Address,199.255.69.217,100,239,True,2021-04-26 16:40:13,R_1LHCYnQHTrlJjey,,,,,36.6739044189453125,-88.4253997802734375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat similar,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,I would explain to them the benefits of distribution management  and ask them what they want/,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"No everything made sense and it as easy to do, I felt a little less confident when it came to answering the ""1 thing I would do"" question because it seems like a pretty simple and direct task to get the varpies to change jobs.",I'm not for sure really,cultural_pos
2021-04-26 16:37:40,2021-04-26 16:41:48,IP Address,75.132.176.211,100,247,True,2021-04-26 16:41:49,R_eh2iqPY9VO8emLD,,,,,38.568206787109375,-89.8964996337890625,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Find other ways to harvest the aquafruit so that Zarpies can do other jobs.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,Whether people should be lumped into doing one thing or have the opportunity to do other things.,biological_pos
2021-04-26 16:30:26,2021-04-26 16:42:33,IP Address,68.171.91.170,100,726,True,2021-04-26 16:42:33,R_2U3N8cjDsjF5MOS,,,,,36.2467041015625,-93.10540008544921875,anonymous,EN,I do consent to participate,Okay,,A little good,Very similar,For sure aquafruit farmer,Not at all satisfying,Not at all satisfying,Very satisfying,Train Zarpies to learn the management skills they need to know.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,"White, Caucasian, or European American",,Some college,Working class,"I think it was fine, but I've done similar studies, so perhaps weeding us out a little beforehand. Doesn't help me any, but it's honset",Current socio-economic challenges.,biological_neg
2021-04-26 16:35:52,2021-04-26 16:45:49,IP Address,24.155.48.156,100,596,True,2021-04-26 16:45:49,R_1dhL02bZ7u88dpA,,,,,27.6775970458984375,-97.3650970458984375,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would see who would be interested in doing the work of a distribution manager and offer training.  This training scheme would help them familiarize themselves with the job and what it entails.  Education is key.  Then the Zarpies would be more equipped to have a choice as to what they want to do.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,53,Male,,"White, Caucasian, or European American",,Some college,Middle class,No problems,Profiling people?,biological_neg
2021-04-26 16:42:46,2021-04-26 16:46:19,IP Address,73.134.223.36,100,212,True,2021-04-26 16:46:19,R_bg3xTgcx43uC4Y9,,,,,39.329803466796875,-76.63500213623046875,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Somewhat satisfying,promise them better pay than they currently make if they change jobs,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural_pos
2021-04-26 16:44:19,2021-04-26 16:47:24,IP Address,68.8.163.160,100,184,True,2021-04-26 16:47:24,R_3PcKJwnOu5iHRk4,,,,,32.7104034423828125,-117.05279541015625,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Somewhat different,Likely different job,Slightly satisfying,Somewhat satisfying,Not at all satisfying,Make the paperwork process easier to complete for Zarpies so they could qualify for the distribution manager position.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No issues,Thoughts about different social groups.,structural
2021-04-26 16:48:57,2021-04-26 16:51:04,IP Address,184.57.164.219,100,127,True,2021-04-26 16:51:04,R_2B4nI2RN5fMsEY7,,,,,39.716796875,-84.157501220703125,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat similar,Likely different job,Extremely satisfying,Very satisfying,Slightly satisfying,I would let younger Zarpies have a scholarship program to learn to be managers. Maybe promote it in schools while young as well.,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural_pos
2021-04-26 16:47:55,2021-04-26 16:51:39,IP Address,71.71.48.245,100,223,True,2021-04-26 16:51:39,R_27QdIXOpWwiJhJr,,,,,35.8220062255859375,-80.26149749755859375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,Pay for their training.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,Some college,Working class,no,I have no idea.,cultural_neg
2021-04-26 16:50:59,2021-04-26 16:54:56,IP Address,75.32.5.219,100,236,True,2021-04-26 16:54:57,R_3DjsNcbeRHfDvvt,,,,,32.963592529296875,-96.74680328369140625,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,For sure different job,Somewhat satisfying,Slightly satisfying,Not at all satisfying,Make sure they do not have to fill out complicated applications for this work compared to the others.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,47,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
2021-04-26 16:52:08,2021-04-26 16:57:51,IP Address,174.246.0.162,100,342,True,2021-04-26 16:57:51,R_SUAAEIbbEH2ak4V,,,,,47.6631011962890625,-122.3029022216796875,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Slightly satisfying,Not at all satisfying,I think I would add more education and training for the Zarpies so that they can feel suited for the job and be hired.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,66,Female,,"White, Caucasian, or European American",,Some college,Working class,no,To see whether people think the poor could raise themselves into another upper class or job.,biological_pos
2021-04-26 16:51:28,2021-04-26 16:58:35,IP Address,73.189.143.60,100,427,True,2021-04-26 16:58:36,R_2zCKApljGIvxWNy,,,,,37.9860992431640625,-122.5688018798828125,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,Likely different job,Somewhat satisfying,Not at all satisfying,Somewhat satisfying,"Create public schools to train distribution managers, and that admit Zarpies.",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,None.,Perceptions of social inequality and thoughts about helping disadvantaged groups.,biological_neg
2021-04-26 16:54:12,2021-04-26 17:02:55,IP Address,73.69.45.121,100,522,True,2021-04-26 17:02:55,R_2sZ166dcvdtuggE,,,,,41.7111053466796875,-70.48870086669921875,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Not at all satisfying,Somewhat satisfying,Offer the Zarpies bonuses or supplemental income if they will switch jobs.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,,,biological_neg
2021-04-26 16:53:56,2021-04-26 17:06:22,IP Address,67.172.52.203,100,745,True,2021-04-26 17:06:22,R_VOLIpVc6UQdNuG5,,,,,41.4355010986328125,-79.690399169921875,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Very satisfying,Not at all satisfying,Not at all satisfying,"Create a training program so Zarpies can see how distribution managers work, and how it would be an easier job than aquafruit farming.",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,"On the one page this sentence was given: ""Aquafruit are fruit grow underwater off the coast of islands in this area."" It would make more sense if it said ""fruit that grow underwater""",How people think about different groups and the jobs they do.,cultural_pos
2021-04-26 17:00:34,2021-04-26 17:08:12,IP Address,47.39.40.57,100,458,True,2021-04-26 17:08:13,R_2wdm76X1YO8yMTq,,,,,43.2270050048828125,-123.51580047607421875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Very similar,Likely different job,Very satisfying,Extremely satisfying,Somewhat satisfying,Very satisfied for color most of the people select this one,Somewhat easy,"Vawns,Glerks","Distribution manager,Strawberry farmer",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Male,,Black or African American,,"Master's (M.A., M.S.)",Middle class,None,The hole survey is I like vey much,biological_pos
