StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,normativity_fc,normativity_notOkay,normativity_okay,intervention,intervention_coded,intervention_diff,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
10/12/2020 9:26,10/12/2020 9:28,IP Address,66.116.6.246,100,130,TRUE,10/12/2020 9:28,R_3JrC3PZoiGlvl3K,,,,,39.479599,-88.37550354,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Zarpies",Maybe yes,Okay,,A little good,plant berries near them,acquire okinberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Master's (M.A., M.S.)",High school/GED,N/A,N/A,I don't know.,structural
10/12/2020 9:25,10/12/2020 9:28,IP Address,70.175.95.203,100,213,TRUE,10/12/2020 9:28,R_3O0LqeagVjzkuLm,,,,,33.61940002,-111.9555969,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,do a magic spell that allows them to eat okinberries,ambiguous,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,52,Female,,White/European American,,High school/GED,Some college,,,,internalist_cultural
10/12/2020 9:26,10/12/2020 9:28,IP Address,173.242.129.193,100,152,TRUE,10/12/2020 9:28,R_3n1y1WQPXIKfpjG,,,,,37.75250244,-85.99539948,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Make it to where the okinberries don't make the Zarpies sick,ambiguous,Somewhat difficult,"Zarpies,Vawns",Okinberries,Learning about Zarpies and answering questions about them,40,Male,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,,,,internalist_biological
10/12/2020 9:25,10/12/2020 9:28,IP Address,50.45.187.140,100,199,TRUE,10/12/2020 9:28,R_AtG9o9he0DB9qbT,,,,,45.53970337,-122.9637985,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe yes,Okay,,Pretty good,live on other side of planet,acquire okinberries,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no,no issues,story retention,internalist_biological
10/12/2020 9:25,10/12/2020 9:29,IP Address,65.114.124.139,100,249,TRUE,10/12/2020 9:29,R_3RgU8PdzWfckeUu,,,,,36.60890198,-88.30310059,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would modify the okinberries genetically so that they don't have the components that make the Zarpies sick.,modify okinberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,No problems here.,I can't think of any improvements.,I'm not sure.,internalist_biological
10/12/2020 9:24,10/12/2020 9:29,IP Address,69.126.59.252,100,268,TRUE,10/12/2020 9:29,R_5jRaC6CANt8S1B7,,,,,40.80180359,-72.86750031,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,Invent a potion they can take so it would be safe for them to eat oikenberries.,modify Zarpies biology,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,,,,structural
10/12/2020 9:25,10/12/2020 9:29,IP Address,104.5.21.103,100,242,TRUE,10/12/2020 9:29,R_3EcdbuM3XowDwAw,,,,,41.62269592,-86.24520111,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,treat the okinberries so that they are safe to eat by all,modify okinberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,42,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,no,na,critical thinking,internalist_biological
10/12/2020 9:25,10/12/2020 9:29,IP Address,173.47.106.14,100,247,TRUE,10/12/2020 9:29,R_3D8A6ucY75EG6Fj,,,,,34.64840698,-99.32050323,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,change their thoughts on them,modify Zarpies beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,22,Female,,White/European American,,High school/GED,Less than high school,no,n/a,How we perceive minimal information,internalist_cultural
10/12/2020 9:24,10/12/2020 9:29,IP Address,68.102.182.181,100,304,TRUE,10/12/2020 9:29,R_3nNuR0x2fnDMlZb,,,,,38.37460327,-97.67299652,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Let them know that it isn't wrong or bad luck for them to eat okinberries,modify Zarpies beliefs/culture,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Female,,White/European American,,Some college,Less than high school,,,,internalist_cultural
10/12/2020 9:24,10/12/2020 9:31,IP Address,104.35.170.65,100,365,TRUE,10/12/2020 9:31,R_2AWGNspwxIEIqjQ,,,,,34.14830017,-118.0016022,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,share okinberries with Zarpies ,acquire okinberries,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,56,Female,,White/European American,,High school/GED,High school/GED,,,,structural
10/12/2020 9:29,10/12/2020 9:32,IP Address,68.204.203.77,100,159,TRUE,10/12/2020 9:32,R_2ri8YHnsykKkuGh,,,,,28.52740479,-81.60119629,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Not okay,"Very, very bad",,have it not be poisonous,ambiguous,Somewhat difficult,"Zarpies,Vawns",Pogoberries,Learning about Zarpies and answering questions about them,41,Male,,Click to write Choice 10,carribean,Some college,Some college,no,no,learning,structural
10/12/2020 9:26,10/12/2020 9:32,IP Address,67.164.74.58,100,340,TRUE,10/12/2020 9:32,R_31N3KVjrl2qAVRG,,,,,37.75579834,-121.9526978,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,"I would make public service announcements telling the Zarpies that it is now OK to eat the okinberries since the pogoberry harvest failed.  I would have the ads play often on TV, social media, etc. ",modify Zarpies beliefs/culture,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,55,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,,,,structural
10/12/2020 9:25,10/12/2020 9:32,IP Address,198.228.141.147,100,418,TRUE,10/12/2020 9:32,R_wMK04D4ePkCFaF3,,,,,45.48170471,-122.4156036,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Color okinberries to the Berries they eat.,modify okinberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,No,"The question which asks select all that applies from berries and task about, you should specific what are you speaking about, the overall initial story or the particular one which I just answered.",unable to determine.,internalist_cultural
10/12/2020 9:30,10/12/2020 9:32,IP Address,74.222.114.184,100,112,TRUE,10/12/2020 9:32,R_1nZoexDfRM6B22C,,,,,33.88200378,-80.40399933,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,"Very, very good",Put blue juice to make the okinberries look like pogoberries,modify okinberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,20,Male,,White/European American,,High school/GED,,,,,internalist_cultural
10/12/2020 9:28,10/12/2020 9:35,IP Address,68.68.135.161,100,413,TRUE,10/12/2020 9:35,R_2rG7JYdGfK4UcAp,,,,,34.2644043,-78.05909729,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,A little good,I would have them try a small amount at first to get used to it.,modify Zarpies biology,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,29,Male,,White/European American,,High school/GED,High school/GED,Nothing at all.,I hope my input helps. I would not change anything,It was about two alien species,structural
10/12/2020 9:25,10/12/2020 9:36,IP Address,89.187.164.84,100,673,TRUE,10/12/2020 9:36,R_3I9kG10VX6PWE5C,,,,,32.77870178,-96.82170105,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,I will try to find a medicine they can use to treat their sickness in the event of eating okinberries,modify Zarpies biology,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Female,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,No problem,,Testing the level of assimilation of people,internalist_biological
10/12/2020 9:34,10/12/2020 9:36,IP Address,68.104.142.91,100,170,TRUE,10/12/2020 9:36,R_A7qRm8X2iztvwB3,,,,,33.24090576,-111.7791977,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Okay,,Pretty good,wash the berries to prevent the zarpies from getting sick,modify okinberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,31,Male,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Less than high school,,,,internalist_biological
10/12/2020 9:28,10/12/2020 9:37,IP Address,173.63.61.15,100,510,TRUE,10/12/2020 9:37,R_6XQtwvZ2cAiEPKx,,,,,40.94569397,-74.18260193,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,I would try to find more pogoberries in any way possible even if I have to get them at a bigger cost somewhere.,acquire pogoberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,57,Female,,White/European American,,High school/GED,Some college,No,"The hit was okay, just hope I remembered the names of the berries",About wrong and right,internalist_biological
10/12/2020 9:33,10/12/2020 9:38,IP Address,76.14.195.160,100,285,TRUE,10/12/2020 9:38,R_DdC1fArMFz4g8Qp,,,,,44.99290466,-122.7658997,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,Search the planet for okinberries,acquire okinberries,Very difficult,Zarpies,"Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,69,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,No,No issues,Memory of foreign names and words,internalist_cultural
10/12/2020 9:35,10/12/2020 9:38,IP Address,73.189.183.209,100,159,TRUE,10/12/2020 9:38,R_3h5vqiWpUL5fEfi,,,,,37.31770325,-121.9380035,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,cook the okinberries to remove their ingredient that is toxic to zarpies,modify okinberries,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,36,Male,,"White/European American,Click to write Choice 7,Click to write Choice 9",,"Bachelor's (B.A., B.S.)",Some college,no,no,see how people interpret small details,internalist_biological
10/12/2020 9:35,10/12/2020 9:38,IP Address,73.71.186.189,100,202,TRUE,10/12/2020 9:38,R_2pWaeEXubSWbiPA,,,,,38.24009705,-122.0397034,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,Pretty good,Import okinberries from the other side of the planet.,acquire pogoberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,39,Male,,"White/European American,Asian/Asian American",,High school/GED,Some college,Everything was fine.,More information on one page instead of a new picture on each page.,I have no idea at all.,structural
10/12/2020 9:31,10/12/2020 9:38,IP Address,51.81.143.142,100,451,TRUE,10/12/2020 9:38,R_2B3TGz6csKk2Mnq,,,,,37.75100708,-97.8219986,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,"make the okinberries bring good luck
turn the okinberries into pogoberries",modify Zarpies beliefs/culture,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,21,Male,,Black/African American,,High school/GED,"Master's (M.A., M.S.)",,,,internalist_cultural
10/12/2020 9:32,10/12/2020 9:38,IP Address,172.220.227.49,100,393,TRUE,10/12/2020 9:38,R_8rgFfbeKPDwnr3z,,,,,35.46659851,-79.17579651,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,make a medicine that Zarpies can take so other berries will not make them sick,modify Zarpies biology,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no,everything was fine,"I am not sure. I am guessing it was about real people and what would be the first choices for helping people. Something to do with GMO foods, lol, no idea. ",internalist_biological
10/12/2020 9:31,10/12/2020 9:38,IP Address,196.16.110.196,100,433,TRUE,10/12/2020 9:39,R_24qpcWo9diQxQXa,,,,,34.05439758,-118.2440033,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,"Very, very good",Will harvest again and cultivate it.,ambiguous,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,39,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,,,,structural
10/12/2020 9:35,10/12/2020 9:39,IP Address,108.14.73.174,100,271,TRUE,10/12/2020 9:39,R_2wo5MYOvzHuwN5X,,,,,40.57949829,-73.98889923,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Find a way to suppress the biological response to okinberries that makes Zarpies sick when eating them,modify Zarpies biology,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",Some college,,,,internalist_biological
10/12/2020 9:30,10/12/2020 9:39,IP Address,73.194.199.39,100,564,TRUE,10/12/2020 9:39,R_3soevTxfEwnMy6l,,,,,39.75759888,-74.24960327,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would change their belief that it's bad luck.,modify Zarpies beliefs/culture,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,45,Male,,White/European American,,Some college,Some college,no,none,To understand thoughts on cultures.,internalist_cultural
10/12/2020 9:36,10/12/2020 9:40,IP Address,24.105.199.58,100,224,TRUE,10/12/2020 9:40,R_SP5yoR2FrKv7QTn,,,,,42.24780273,-73.7539978,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,Have them switch living spaces with the other creatures so they can both try each food.,acquire okinberries,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,24,Female,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Some college,,,,structural
10/12/2020 9:36,10/12/2020 9:41,IP Address,72.84.109.234,100,305,TRUE,10/12/2020 9:41,R_3RpFfiuLa4zZCXO,,,,,36.79690552,-76.17970276,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Ask the Vawns if they will share,acquire okinberries,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,44,Female,,White/European American,,High school/GED,High school/GED,no,no,Learning about fictional characters to see if this would be easy for children,structural
10/12/2020 9:36,10/12/2020 9:41,IP Address,24.163.96.208,100,315,TRUE,10/12/2020 9:41,R_22Y7JM8e2iSSu34,,,,,35.58309937,-78.7881012,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe yes,Okay,,Pretty good,Tell them it's not bad luck,modify Zarpies beliefs/culture,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,49,Female,,White/European American,,High school/GED,High school/GED,no,"it was cute, no need",not sure,internalist_cultural
10/12/2020 9:38,10/12/2020 9:42,IP Address,174.101.136.173,100,219,TRUE,10/12/2020 9:42,R_30qNWDxQlAYgvoJ,,,,,39.14970398,-84.4260025,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would try to help them not get sick from them.,modify Zarpies biology,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White/European American,Black/African American",,Some college,Some college,No.,No.,,internalist_biological
10/12/2020 9:28,10/12/2020 9:42,IP Address,73.1.141.162,100,813,TRUE,10/12/2020 9:42,R_1Qgfi4oDvlELg4t,,,,,26.59910583,-80.12840271,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,I would tell them it is now good luck to eat them.,modify Zarpies beliefs/culture,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,68,Female,,White/European American,,High school/GED,High school/GED,no problems,no suggested changes,right and wrong,internalist_cultural
10/12/2020 9:34,10/12/2020 9:44,IP Address,98.167.113.206,100,599,TRUE,10/12/2020 9:44,R_Z9qlM4AtDZsRRZv,,,,,36.05880737,-115.3104019,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Okay,,Pretty good,be friendly with the others,ambiguous,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,no,nothing,I have no idea,structural
