StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,stabilityOverTime,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,intervention,intervention_coded,intervention_diff,check_group,check_job,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
3/5/2021 19:00,3/5/2021 19:06,IP Address,104.129.29.34,100,400,TRUE,3/5/2021 19:06,R_1GQdiPO1HWijMab,,,,,42.00480652,-87.99539948,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,"Very, very bad",,Equally similar and different,Equally likely aquafruit farmer or distribution manager,Set up a training program to help Zarpies enter other occupations.,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,30,Female,,"White, Caucasian, or European American,East Asian",,Some college,Working class,,,structural
3/5/2021 19:00,3/5/2021 19:07,IP Address,73.108.38.18,100,403,TRUE,3/5/2021 19:07,R_1rO1jzUrTcVTJd3,,,,,36.04989624,-83.92279816,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Equally similar and different,Equally likely aquafruit farmer or distribution manager,"I would have a work exchange, where every few weeks a few zarpies and vahns would change positions so they could appreciate and gain a better understanding of aspects of the island culture and work force.",,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,32,Male,,"White, Caucasian, or European American,Hispanic or Latino/a,Native American, American Indian, or Alaska Native",,Some college,Poor,,How we view morality when it comes to the exploitation of other cultures for our own benefit.,cultural
3/5/2021 19:03,3/5/2021 19:07,IP Address,207.173.44.19,100,280,TRUE,3/5/2021 19:08,R_2B2l4j1UcrDyeyh,,,,,35.32119751,-112.9548035,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably no,Not okay,"Very, very bad",,Very different,Equally likely aquafruit farmer or distribution manager,Appeal to their sense of justice and rights as individuals.,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,28,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,n/a,Perceptions of social roles,cultural
3/5/2021 19:04,3/5/2021 19:08,IP Address,65.78.109.183,100,287,TRUE,3/5/2021 19:08,R_yTLZ9fRi5AhkgRH,,,,,40.58169556,-75.32550049,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably no,Not okay,"Very, very bad",,Equally similar and different,Equally likely aquafruit farmer or distribution manager,I would make the paperwork Zarpies need to fill out much less complicated. That would make the process quicker and easier.,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,43,Male,,"White, Caucasian, or European American",,"Doctoral (Ph.D., J.D., M.D.)",Middle class,,,structural
3/5/2021 19:04,3/5/2021 19:09,IP Address,184.178.81.121,100,279,TRUE,3/5/2021 19:09,R_1DzHAQkAumzSQsO,,,,,36.09440613,-95.97170258,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure yes,Okay,,Pretty good,Very different,Probably aquafruit farmer,I would require a certain amount of Zarpies become distribution managers,,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,36,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,biological
3/5/2021 19:04,3/5/2021 19:09,IP Address,73.80.90.55,100,306,TRUE,3/5/2021 19:09,R_1MQVc8tczV9Tmqf,,,,,39.94520569,-74.15730286,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure yes,Not okay,"Very, very bad",,Somewhat different,Probably aquafruit farmer,I would have high school and college aged Zarpies take classes to learn how to be distribution managers. ,,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,43,Male,,"White, Caucasian, or European American",,Some college,Working class,Nothing confusing at all.,"I think this was about how people perceive different groups, and what can be done to improve the group's lives.",biological
3/5/2021 18:59,3/5/2021 19:09,IP Address,74.65.52.160,100,581,TRUE,3/5/2021 19:09,R_ysdCT6nmbGvikKt,,,,,43.23980713,-78.20680237,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,"Very, very bad",,Very similar,Probably distribution manager,Give them free training to help them become distribution managers,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,51,Male,,"White, Caucasian, or European American",,Some college,Middle class,N/A,Social equity,structural
3/5/2021 19:02,3/5/2021 19:10,IP Address,99.25.96.104,100,464,TRUE,3/5/2021 19:10,R_ALkOe5EfbzG8b05,,,,,41.3704071,-81.85870361,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure no,Not okay,Pretty bad,,Equally similar and different,Equally likely aquafruit farmer or distribution manager,I would get rid of the complex paperwork that Zarpies needed to fill out to work in different field by making it simpler,,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,48,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,Prefer not to specify,,,structural
3/5/2021 19:01,3/5/2021 19:11,IP Address,47.39.220.153,100,590,TRUE,3/5/2021 19:11,R_12gO15jeZbo4Tx0,,,,,32.90310669,-84.33139801,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Somewhat different,Probably aquafruit farmer,I would try to get the Zarpies to go on a work strike and demand equal or better pay than the vawns by sabotaging all the land based crops and creating an artificial shortage of aquafruit. ,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,40,Male,,"White, Caucasian, or European American",,Some college,Working class,,To see how I react to race based class inequality,biological
3/5/2021 19:12,3/5/2021 19:16,IP Address,172.58.70.177,100,276,TRUE,3/5/2021 19:16,R_3IQwAFUCO6tzPhj,,,,,36.09339905,-95.87909698,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,"Very, very bad",,Somewhat different,Probably distribution manager,Make the paper work required be a lot less tedious ,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,26,Male,,Hispanic or Latino/a,,High school/GED,Working class,None,How I felt about a minority group,structural
3/5/2021 19:17,3/5/2021 19:21,IP Address,70.112.1.80,100,213,TRUE,3/5/2021 19:21,R_30v3lKzxW8oZb5g,,,,,30.24229431,-97.76719666,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,Probably yes,Not okay,Pretty bad,,Somewhat similar,Probably aquafruit farmer,"I would start by finding a zarpie thats interested in being a distribution manager,hire them on the spot and hopefully it would lead the way for more to get into that career path",,Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,24,Female,,"White, Caucasian, or European American",,High school/GED,Working class,,,biological
3/5/2021 19:52,3/5/2021 19:56,IP Address,71.61.18.143,100,257,TRUE,3/5/2021 19:56,R_24bYE7d4X8mcqYo,,,,,40.27549744,-80.05979919,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Equally similar and different,Probably aquafruit farmer,"Limit the amount of paperwork required to apply for other jobs. Make sure the requirements to get other jobs are well within reason for Zarpies, either by reducing it to the minimum, or ensuring Zarpies have the resources to acquire other jobs.",,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,39,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,Everything was clear to me,"Differences between social groups, and the economy",structural
3/5/2021 19:59,3/5/2021 20:05,IP Address,98.214.234.47,100,344,TRUE,3/5/2021 20:05,R_2qpY6m9eTdC7yR0,,,,,39.86160278,-88.9355011,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Okay,,Pretty good,Somewhat different,Equally likely aquafruit farmer or distribution manager,"I would show them that there could be more demand for aquafruit if zarpies, who are experts in those items, helped to sell them to the masses",,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,46,Male,,"White, Caucasian, or European American",,High school/GED,Poor,,,cultural
3/5/2021 20:31,3/5/2021 20:36,IP Address,24.17.34.132,100,332,TRUE,3/5/2021 20:36,R_1lhpvNiX253cyym,,,,,47.39570618,-122.3036041,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,Probably yes,Okay,,A little good,Somewhat different,Probably aquafruit farmer,Give zarpies opportunity for education and training to become managers. ,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,26,Male,,Black or African American,,Some college,Working class,,,biological
3/5/2021 20:44,3/5/2021 20:50,IP Address,66.177.64.130,100,373,TRUE,3/5/2021 20:50,R_dnb4fXpgjHZ3BnP,,,,,30.36680603,-81.58730316,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,A little bad,,Very different,Probably distribution manager,I would stop the process of filling out extensive paperwork and make it easier for them to switch jobs.,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,57,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,You might have explained a little better or differently the challenges that the Zarpies encountered when attempting to change jobs. ,I'm not sure.,structural
3/6/2021 0:15,3/6/2021 0:19,IP Address,192.234.2.18,100,243,TRUE,3/6/2021 0:19,R_2rBhMPBsdijYOtt,,,,,41.68530273,-72.92960358,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure yes,Okay,,"Very, very good",Somewhat different,Equally likely aquafruit farmer or distribution manager,I would teach them about their history/culture,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,30,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,,,cultural
3/6/2021 0:21,3/6/2021 0:25,IP Address,68.224.156.104,100,197,TRUE,3/6/2021 0:25,R_2aQZeS2VfyuObjl,,,,,36.16850281,-115.1164017,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Okay,,Pretty good,Somewhat different,Equally likely aquafruit farmer or distribution manager,"Start out small and test a few zarpies and see how they do, then get more zarpies.",,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,29,Male,,Hispanic or Latino/a,,Some college,Working class,,,cultural
3/6/2021 1:12,3/6/2021 1:12,IP Address,24.17.16.164,100,4,TRUE,3/6/2021 1:12,R_0MwAXERYDGPzhrb,,,,,47.73460388,-122.3479004,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2021 1:14,3/6/2021 1:17,IP Address,73.251.207.152,100,172,TRUE,3/6/2021 1:17,R_2Ba4UiV5DoaDBD9,,,,,38.93009949,-78.18869781,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Okay,,"Very, very good",Very different,Equally likely aquafruit farmer or distribution manager,I would not change anything about the current social order.,,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,biological
3/6/2021 1:07,3/6/2021 1:17,IP Address,70.93.195.94,100,617,TRUE,3/6/2021 1:17,R_20OmrX2ClWJBOBn,,,,,33.73719788,-117.8231964,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,"Very, very bad",,Somewhat similar,Probably distribution manager,I would teach the Zarpies how to fill out the complicated paper work so next time they can do it on their own.,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,22,Male,,Hispanic or Latino/a,,Some college,Working class,No.,If people think some jobs are fair or unfair. ,structural
3/6/2021 1:11,3/6/2021 1:17,IP Address,50.122.205.67,100,366,TRUE,3/6/2021 1:17,R_1K8SIQgFPFx2eSG,,,,,43.01660156,-74.64800262,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure no,Okay,,Pretty good,Somewhat different,Probably aquafruit farmer,"Start an exchange program so that Zarpies could start to see what it's like to work as distribution managers. Since it's lower risk, they might like it and want to change jobs. I'd advertise the program at their current place of work. ",,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,25,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"At one point it said ""terrafruit"" instead of aquafruit. I thought it was actually a trick question but now I'm thinking it probably should have said aquafruit. Also at one point a ""definitely"" and ""probably"" answer seemed like they were swapped location-wise ","I'm guessing you give different information to different participants, and see how it affects their ideas/judgements ",biological
3/6/2021 1:20,3/6/2021 1:27,IP Address,66.74.51.40,100,421,TRUE,3/6/2021 1:27,R_117lBsYEu1uhiC7,,,,,34.16189575,-116.4335022,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably no,Okay,,Pretty good,Somewhat different,Equally likely aquafruit farmer or distribution manager,Basically search for people experiences and/or capacity,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,49,Male,,"White, Caucasian, or European American",,Some college,Poor,no,Equality ,structural
3/6/2021 1:28,3/6/2021 1:31,IP Address,163.116.138.113,100,200,TRUE,3/6/2021 1:31,R_PM4qdGA4vLWajF7,,,,,47.60319519,-122.3412018,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Somewhat different,Equally likely aquafruit farmer or distribution manager,Encourage them that they can respect the ocean and the fruits by selling the fruits and distributing them.,,Very difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,28,Male,,"White, Caucasian, or European American,East Asian",,"Master's (M.A., M.S.)",Affluent,,,cultural
3/6/2021 1:28,3/6/2021 1:32,IP Address,68.82.143.120,100,217,TRUE,3/6/2021 1:32,R_1qghHifJ37PBMn5,,,,,39.98280334,-75.82389832,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Very different,Equally likely aquafruit farmer or distribution manager,Remove the paperwork requirements so they could get other jobs.,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,48,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
3/6/2021 1:13,3/6/2021 1:35,IP Address,73.23.210.242,100,1301,TRUE,3/6/2021 1:35,R_C9yqvUEKCB4WpYR,,,,,26.59210205,-81.67839813,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,For sure yes,Okay,,Pretty good,Somewhat different,Probably aquafruit farmer,"I would tell the Zarpies the benefits of working as a distribution manager, the job is a promotion, they would get more pay, and they would no longer have to do a job that was dangerous. ",,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,63,Female,,"White, Caucasian, or European American",,Some college,Middle class,No problems. I think it was set up very well. ,I think it might have had to do with equality. ,cultural
3/6/2021 1:32,3/6/2021 1:37,IP Address,24.17.64.201,100,270,TRUE,3/6/2021 1:37,R_PML26WtzgveUlGN,,,,,48.74940491,-122.4896011,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Not okay,Pretty bad,,Somewhat different,Equally likely aquafruit farmer or distribution manager,Educate Zarpies on how their lives might be improved with a much safer job. One with no sharks.,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,33,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,,,cultural
3/6/2021 1:22,3/6/2021 1:41,IP Address,216.86.240.172,100,1138,TRUE,3/6/2021 1:41,R_OD8cG208k9HgDQJ,,,,,37.75100708,-97.8219986,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Okay,,Pretty good,Somewhat different,Equally likely aquafruit farmer or distribution manager,tax incentives,,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
3/6/2021 1:25,3/6/2021 1:43,IP Address,147.135.36.175,100,1065,TRUE,3/6/2021 1:43,R_54hFGpa0pDnXPQl,,,,,45.53970337,-122.9637985,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably no,Okay,,Pretty good,Somewhat similar,Probably aquafruit farmer,I would train them how to handle roles of distribution managers rather than harvesting aqua fruits. ,,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,23,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,,About language and social categories.,structural
3/6/2021 1:38,3/6/2021 1:47,IP Address,47.203.249.241,100,550,TRUE,3/6/2021 1:47,R_2SGq1VP34vIIP7N,,,,,28.04359436,-81.73329926,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,Probably yes,Okay,,A little good,Somewhat different,Equally likely aquafruit farmer or distribution manager,"What I would do as some-sort of governmental official or legislator, as a libertarian, is nothing. The only way I would advocate for something being done is if there are variables that are not currently being provided to me in this overly simplistic example.",,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,29,Male,,"White, Caucasian, or European American",,High school/GED,Working class,,,biological
