StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,check_job,acceptability,acceptability_a,acceptability_b,diff,switched_context,switched_context_a,switched_context_b,intervention,intervention_coded,intervention_diff,intervention_diff_a,intervention_diff_b,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
8/29/2021 16:11,8/29/2021 16:15,IP Address,69.138.110.11,100,246,TRUE,8/29/2021 16:15,R_3nN6OAqmwoBKucg,,,,,27.68930054,-80.3757019,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cleaner,,probably cleaner,Allow the reds and blue to go to the same school.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Female,,"White, Caucasian, or European American",,Some college,Working class,no,social inequality,structural
8/29/2021 16:10,8/29/2021 16:15,IP Address,76.203.249.88,100,317,TRUE,8/29/2021 16:15,R_2rP0z4oa6b330BG,,,,,42.57130432,-83.74859619,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Equally similar and different,cake decorator,probably cake decorator,,I would have the Blues move to another city.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,46,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
8/29/2021 16:11,8/29/2021 16:15,IP Address,50.39.168.12,100,227,TRUE,8/29/2021 16:15,R_3LZqJi7XG0SNSKg,,,,,45.53970337,-122.9637985,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cleaner,,maybe cleaner,allow them to learn if wanted,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,26,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,i don't know,structural
8/29/2021 16:11,8/29/2021 16:15,IP Address,72.95.213.245,100,248,TRUE,8/29/2021 16:15,R_3fVjuMrkMzljTwX,,,,,40.36849976,-80.05039978,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Equally similar and different,cake decorator,definitely cake decorator,,move to flooftown,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,55,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,preferences and attitudes,cultural
8/29/2021 16:13,8/29/2021 16:16,IP Address,174.106.114.244,100,206,TRUE,8/29/2021 16:16,R_2ZDrix1MjIcOczl,,,,,34.80999756,-79.15920258,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat similar,cake decorator,probably cake decorator,,Teach them a recipe,provide job training/tools to group,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Female,,"Native American, American Indian, or Alaska Native",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
8/29/2021 16:11,8/29/2021 16:16,IP Address,100.34.205.121,100,304,TRUE,8/29/2021 16:16,R_023Dq00Md0Jiovf,,,,,40.18089294,-75.21559906,anonymous,EN,I do consent to participate,Reds,Not okay,A little bad,,Somewhat similar,cleaner,,maybe cleaner,"Be more encouraging to eschew cleaning and decorate cakes, make it more socially acceptable for blues.",change group beliefs/values,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,33,Male,,"White, Caucasian, or European American",,Some college,Working class,,,cultural
8/29/2021 16:11,8/29/2021 16:16,IP Address,76.217.27.124,100,297,TRUE,8/29/2021 16:16,R_d0WwuV7flWAl11n,,,,,34.10820007,-118.1568985,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cake decorator,probably cake decorator,,Have the Blue and Red alternate jobs each week. Pay Blue and Red same amount regardless of job. ,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,no,bias,biological
8/29/2021 16:13,8/29/2021 16:16,IP Address,70.19.61.133,100,203,TRUE,8/29/2021 16:16,R_2fOpCbl72TtwVDH,,,,,41.27090454,-73.68569946,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat similar,cake decorator,probably cake decorator,,"Distribute the workload between Reds and Blues. Some Reds and some blues can clean the place, while some blues and some reds can decorate the cakes.",create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,Prefer not to specify,,,cultural
8/29/2021 16:15,8/29/2021 16:17,IP Address,68.102.58.156,100,155,TRUE,8/29/2021 16:17,R_3OpLyao73NkBq42,,,,,37.73699951,-97.25140381,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cleaner,,probably cleaner,Remove rules preventing them from decorating,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,N/a,Social inequality,structural
8/29/2021 16:11,8/29/2021 16:17,IP Address,97.93.58.51,100,360,TRUE,8/29/2021 16:17,R_28IBeu04MHzd63T,,,,,34.23370361,-118.2536011,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cleaner,,probably cleaner,I would allow Blues to go to the cake-decorating school and give them information about the school while they're at the bakery. ,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Female,,Black or African American,,"Master's (M.A., M.S.)",Middle class,None,I think it's about how adults perceive working toward achieving economic & social equality.,structural
8/29/2021 16:11,8/29/2021 16:18,IP Address,73.219.249.59,100,445,TRUE,8/29/2021 16:18,R_3G8Prcylq9AAlib,,,,,42.24630737,-70.99720001,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cleaner,,maybe cleaner,Offer more financial incentive for Blues to decorate cakes.,"change job wages, value, hours, work",Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,There were no issues.,This study is possibly about generational employment issues.,cultural
8/29/2021 16:11,8/29/2021 16:18,IP Address,24.163.25.212,100,459,TRUE,8/29/2021 16:18,R_3nJbEm4ls6Pw7s8,,,,,36.03300476,-80.39160156,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cleaner,,probably cleaner,make it so blues are able to be taught how to bake cakes.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,36,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No.,racial equity,structural
8/29/2021 16:13,8/29/2021 16:18,IP Address,73.135.17.30,100,334,TRUE,8/29/2021 16:18,R_pAGw40OdOVhyIg1,,,,,39.33610535,-76.53890228,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,I would start paying the cleaners more so that more reds would want to clean.,"change job wages, value, hours, work",Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,25,Male,,"White, Caucasian, or European American",,High school/GED,Working class,none,How people can solve problems with workers.,biological
8/29/2021 16:10,8/29/2021 16:19,IP Address,67.7.27.221,100,530,TRUE,8/29/2021 16:19,R_1ODdLiPxhUur8mJ,,,,,32.11180115,-95.33809662,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,definitely cake decorator,,"I would lead a strike for better working conditions and opportunity. In other words, unionize.",create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,62,Male,,"White, Caucasian, or European American",,Some college,Middle class,no,subtle prejudice.,biological
8/29/2021 16:12,8/29/2021 16:19,IP Address,173.80.212.22,100,424,TRUE,8/29/2021 16:19,R_25Egf21z383c4Ss,,,,,37.84790039,-81.99610138,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,probably cake decorator,,let them go to school to learn how to decorate cakes so they also have a chance to get more money and have an easier and more fun job,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues",Cake decorater,Learning about Reds and Blues and answering questions about them,Please enter your age in years:,39,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,no,what we think about equality,structural
8/29/2021 16:16,8/29/2021 16:20,IP Address,162.196.176.250,100,215,TRUE,8/29/2021 16:20,R_2B8wt7I6jxFITpX,,,,,34.20469666,-118.572998,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cake decorator,probably cake decorator,,I would provide training and the ability to decorate cakes for equality.,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,52,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,no,about discriminations in the work place,biological
8/29/2021 16:16,8/29/2021 16:20,IP Address,104.8.174.38,100,229,TRUE,8/29/2021 16:20,R_ThgYPdTqGqTA87f,,,,,41.44529724,-81.69909668,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,probably cake decorator,,I think there should be cross training between the blues and the reds and a raise for the blues,provide job training/tools to group,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,32,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,"I dont, it was simple!",To see how people view equality,biological
8/29/2021 16:11,8/29/2021 16:21,IP Address,74.37.69.184,100,568,TRUE,8/29/2021 16:21,R_envdZ9vQmY4nXgt,,,,,46.04139709,-89.23860168,anonymous,EN,I do consent to participate,Reds,Not okay,A little bad,,Somewhat similar,cake decorator,maybe cake decorator,,Directly hire blues to decorate.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,na,perception of race,biological
8/29/2021 16:15,8/29/2021 16:21,IP Address,68.101.172.192,100,350,TRUE,8/29/2021 16:21,R_2xENTtjmDYdNPIG,,,,,33.08929443,-117.1152954,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat similar,cake decorator,maybe cake decorator,,"Remove the rule that prevents Blues from attending cake-decorating school.  Any Blue who learns how to decorate cakes should then be allowed to do that job, and any Red who has the same skill should also be allowed to decorate cakes.",create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No problems,How people view questions of fairness in fictional societies,structural
8/29/2021 16:12,8/29/2021 16:21,IP Address,73.226.237.125,100,557,TRUE,8/29/2021 16:21,R_2VOPHIVfB5WLgUe,,,,,40.55549622,-74.28549957,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very similar,cake decorator,maybe cake decorator,,I would introduce Blues to cake decorating when they are young. This will give them the experience and the opportunity to consider cake decorating when they become older. I would also remove the rule that only reds decorate and blues clean.,change group beliefs/values,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,36,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
8/29/2021 16:17,8/29/2021 16:21,IP Address,172.58.27.233,100,249,TRUE,8/29/2021 16:21,R_3Odz9FHI4KXaN84,,,,,34.04469299,-118.2946014,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very different,cake decorator,probably cake decorator,,Make sure all the blues and reds have the equal ammount of jobs in either decorating the cakes or cleaning the bakery.,other,Easy,Pretty easy,Pretty hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,22,Male,,Hispanic or Latino/a,,Some college,Middle class,,,cultural
8/29/2021 16:15,8/29/2021 16:24,IP Address,172.220.244.5,100,553,TRUE,8/29/2021 16:24,R_2PC4hJi5D90oELn,,,,,35.45019531,-79.13619995,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cleaner,,maybe cleaner,Make the pay for cleaning 7 coins and the pay for decorating 4 coins. It would not change how much the bakery owner pays out of pocket. ,"change job wages, value, hours, work",Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,27,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,It was all clear. ,Probably something about income inequality for certain demographics. ,cultural
8/29/2021 16:19,8/29/2021 16:26,IP Address,73.245.123.35,100,414,TRUE,8/29/2021 16:26,R_tF0uDkZwJggSz9D,,,,,26.59910583,-80.12840271,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cake decorator,probably cake decorator,,I would have them share the job equally with the cake decorators,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,69,Female,,"White, Caucasian, or European American",,High school/GED,Working class,no problems or confusion,equal pay for workers,cultural
8/29/2021 16:24,8/29/2021 16:26,IP Address,76.221.209.152,100,132,TRUE,8/29/2021 16:26,R_1E73PfwBEpl9f1I,,,,,42.29670715,-85.20659637,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,maybe cake decorator,,I would make a law that says 1/2 of the cake decorators must be Blues.,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,35,Non-binary,,East Asian,,Some college,Working class,,,biological
8/29/2021 16:20,8/29/2021 16:26,IP Address,174.192.138.60,100,357,TRUE,8/29/2021 16:26,R_3snaZf11cv82yAp,,,,,42.99229431,-87.99320221,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,definitely cake decorator,,allow blues to learn to decorate cakes,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,39,Female,,"White, Caucasian, or European American",,High school/GED,Working class,,not sure,structural
8/29/2021 16:17,8/29/2021 16:27,IP Address,96.29.208.233,100,618,TRUE,8/29/2021 16:27,R_3gXjPYuUzDGVUey,,,,,38.18659973,-85.6529007,anonymous,EN,I do consent to participate,Reds,Not okay,A little bad,,Equally similar and different,cleaner,,probably cleaner,I would make sure that the Blues that decorate cakes are qualified to decorate them; that they have the training to do decorate cakes which is most important as obviously the Reds already have that ability. ,other,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,64,Female,,"White, Caucasian, or European American",,Some college,Working class,No,"Looking at the big picture, taking everything into account.",structural
8/29/2021 16:11,8/29/2021 16:29,IP Address,173.27.71.217,100,1081,TRUE,8/29/2021 16:29,R_3EDYwzzzNi0cYTE,,,,,41.98460388,-91.6269989,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,probably cake decorator,,"I would ask the manager of the Bakery at Smorgsville to assign a blue as an intern to help the Red, as a supervisor, to decorate the cake for one month, and then evaluate this blue's performance. ",create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,54,Male,,East Asian,,"Doctoral (Ph.D., J.D., M.D.)",Middle class,none,people's opinion on social equality.  ,cultural
8/29/2021 16:36,8/29/2021 16:41,IP Address,67.140.166.219,100,268,TRUE,8/29/2021 16:41,R_719voGpw5NG042B,,,,,37.15310669,-84.09860229,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cake decorator,probably cake decorator,,Lower the wages of decorating cakes.,"change job wages, value, hours, work",Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,"White, Caucasian, or European American",,Some college,Working class,No problems.,"I think it is a simplified version of the real world, but accurate in many ways. Many of the hard labor jobs in real life pay low amounts, while cushy, good jobs pay way more.",cultural
