StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,normativity_fc,normativity_notOkay,normativity_okay,intervention,intervention_diff,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
2020-10-12 09:26:11,2020-10-12 09:28:21,IP Address,66.116.6.246,100,130,True,2020-10-12 09:28:22,R_3JrC3PZoiGlvl3K,,,,,39.4795989990234375,-88.3755035400390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Zarpies",Maybe yes,Okay,,A little good,plant berries near them,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Master's (M.A., M.S.)",High school/GED,N/A,N/A,I don't know.,structural
2020-10-12 09:25:01,2020-10-12 09:28:35,IP Address,70.175.95.203,100,213,True,2020-10-12 09:28:35,R_3O0LqeagVjzkuLm,,,,,33.6194000244140625,-111.955596923828125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,do a magic spell that allows them to eat okinberries,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,52,Female,,White/European American,,High school/GED,Some college,,,,internalist_cultural
2020-10-12 09:26:02,2020-10-12 09:28:35,IP Address,173.242.129.193,100,152,True,2020-10-12 09:28:35,R_3n1y1WQPXIKfpjG,,,,,37.75250244140625,-85.99539947509765625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Make it to where the okinberries don't make the Zarpies sick,Somewhat difficult,"Zarpies,Vawns",Okinberries,Learning about Zarpies and answering questions about them,40,Male,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,,,,internalist_biological
2020-10-12 09:25:38,2020-10-12 09:28:57,IP Address,50.45.187.140,100,199,True,2020-10-12 09:28:57,R_AtG9o9he0DB9qbT,,,,,45.539703369140625,-122.96379852294921875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe yes,Okay,,Pretty good,live on other side of planet,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no,no issues,story retention,internalist_biological
2020-10-12 09:25:06,2020-10-12 09:29:15,IP Address,65.114.124.139,100,249,True,2020-10-12 09:29:15,R_3RgU8PdzWfckeUu,,,,,36.6089019775390625,-88.3031005859375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would modify the okinberries genetically so that they don't have the components that make the Zarpies sick.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,No problems here.,I can't think of any improvements.,I'm not sure.,internalist_biological
2020-10-12 09:24:54,2020-10-12 09:29:22,IP Address,69.126.59.252,100,268,True,2020-10-12 09:29:22,R_5jRaC6CANt8S1B7,,,,,40.8018035888671875,-72.86750030517578125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,Invent a potion they can take so it would be safe for them to eat oikenberries.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,,,,structural
2020-10-12 09:25:25,2020-10-12 09:29:27,IP Address,104.5.21.103,100,242,True,2020-10-12 09:29:28,R_3EcdbuM3XowDwAw,,,,,41.6226959228515625,-86.24520111083984375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,treat the okinberries so that they are safe to eat by all,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,42,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,no,na,critical thinking,internalist_biological
2020-10-12 09:25:27,2020-10-12 09:29:34,IP Address,173.47.106.14,100,247,True,2020-10-12 09:29:35,R_3D8A6ucY75EG6Fj,,,,,34.648406982421875,-99.32050323486328125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,change their thoughts on them,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,22,Female,,White/European American,,High school/GED,Less than high school,no,n/a,How we perceive minimal information,internalist_cultural
2020-10-12 09:24:52,2020-10-12 09:29:56,IP Address,68.102.182.181,100,304,True,2020-10-12 09:29:56,R_3nNuR0x2fnDMlZb,,,,,38.374603271484375,-97.67299652099609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Let them know that it isn't wrong or bad luck for them to eat okinberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Female,,White/European American,,Some college,Less than high school,,,,internalist_cultural
2020-10-12 09:24:58,2020-10-12 09:31:03,IP Address,104.35.170.65,100,365,True,2020-10-12 09:31:04,R_2AWGNspwxIEIqjQ,,,,,34.1483001708984375,-118.0016021728515625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,"share okinberries with Zarpies ",Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,56,Female,,White/European American,,High school/GED,High school/GED,,,,structural
2020-10-12 09:29:27,2020-10-12 09:32:06,IP Address,68.204.203.77,100,159,True,2020-10-12 09:32:06,R_2ri8YHnsykKkuGh,,,,,28.52740478515625,-81.6011962890625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Not okay,"Very, very bad",,have it not be poisonous,Somewhat difficult,"Zarpies,Vawns",Pogoberries,Learning about Zarpies and answering questions about them,41,Male,,Click to write Choice 10,carribean,Some college,Some college,no,no,learning,structural
2020-10-12 09:26:42,2020-10-12 09:32:22,IP Address,67.164.74.58,100,340,True,2020-10-12 09:32:22,R_31N3KVjrl2qAVRG,,,,,37.75579833984375,-121.95269775390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,"I would make public service announcements telling the Zarpies that it is now OK to eat the okinberries since the pogoberry harvest failed.  I would have the ads play often on TV, social media, etc. ",Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,55,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,,,,structural
2020-10-12 09:25:24,2020-10-12 09:32:23,IP Address,198.228.141.147,100,418,True,2020-10-12 09:32:23,R_wMK04D4ePkCFaF3,,,,,45.4817047119140625,-122.4156036376953125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Color okinberries to the Berries they eat.,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,No,"The question which asks select all that applies from berries and task about, you should specific what are you speaking about, the overall initial story or the particular one which I just answered.",unable to determine.,internalist_cultural
2020-10-12 09:30:36,2020-10-12 09:32:29,IP Address,74.222.114.184,100,112,True,2020-10-12 09:32:29,R_1nZoexDfRM6B22C,,,,,33.8820037841796875,-80.40399932861328125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,"Very, very good",Put blue juice to make the okinberries look like pogoberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,20,Male,,White/European American,,High school/GED,,,,,internalist_cultural
2020-10-12 09:28:10,2020-10-12 09:35:04,IP Address,68.68.135.161,100,413,True,2020-10-12 09:35:04,R_2rG7JYdGfK4UcAp,,,,,34.264404296875,-78.0590972900390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,A little good,I would have them try a small amount at first to get used to it.,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,29,Male,,White/European American,,High school/GED,High school/GED,Nothing at all.,I hope my input helps. I would not change anything,It was about two alien species,structural
2020-10-12 09:25:25,2020-10-12 09:36:39,IP Address,89.187.164.84,100,673,True,2020-10-12 09:36:40,R_3I9kG10VX6PWE5C,,,,,32.7787017822265625,-96.8217010498046875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,I will try to find a medicine they can use to treat their sickness in the event of eating okinberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Female,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,No problem,,Testing the level of assimilation of people,internalist_biological
2020-10-12 09:34:04,2020-10-12 09:36:54,IP Address,68.104.142.91,100,170,True,2020-10-12 09:36:54,R_A7qRm8X2iztvwB3,,,,,33.24090576171875,-111.77919769287109375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Okay,,Pretty good,wash the berries to prevent the zarpies from getting sick,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,31,Male,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Less than high school,,,,internalist_biological
2020-10-12 09:28:35,2020-10-12 09:37:05,IP Address,173.63.61.15,100,510,True,2020-10-12 09:37:06,R_6XQtwvZ2cAiEPKx,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,I would try to find more pogoberries in any way possible even if I have to get them at a bigger cost somewhere.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,57,Female,,White/European American,,High school/GED,Some college,No,"The hit was okay, just hope I remembered the names of the berries",About wrong and right,internalist_biological
2020-10-12 09:33:18,2020-10-12 09:38:03,IP Address,76.14.195.160,100,285,True,2020-10-12 09:38:03,R_DdC1fArMFz4g8Qp,,,,,44.9929046630859375,-122.765899658203125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,Search the planet for okinberries,Very difficult,Zarpies,"Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,69,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,No,No issues,Memory of foreign names and words,internalist_cultural
2020-10-12 09:35:28,2020-10-12 09:38:08,IP Address,73.189.183.209,100,159,True,2020-10-12 09:38:08,R_3h5vqiWpUL5fEfi,,,,,37.3177032470703125,-121.9380035400390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,cook the okinberries to remove their ingredient that is toxic to zarpies,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,36,Male,,"White/European American,Click to write Choice 7,Click to write Choice 9",,"Bachelor's (B.A., B.S.)",Some college,no,no,see how people interpret small details,internalist_biological
2020-10-12 09:35:12,2020-10-12 09:38:35,IP Address,73.71.186.189,100,202,True,2020-10-12 09:38:35,R_2pWaeEXubSWbiPA,,,,,38.2400970458984375,-122.039703369140625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,Pretty good,Import okinberries from the other side of the planet.,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,39,Male,,"White/European American,Asian/Asian American",,High school/GED,Some college,Everything was fine.,More information on one page instead of a new picture on each page.,I have no idea at all.,structural
2020-10-12 09:31:14,2020-10-12 09:38:45,IP Address,51.81.143.142,100,451,True,2020-10-12 09:38:46,R_2B3TGz6csKk2Mnq,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,"make the okinberries bring good luck
turn the okinberries into pogoberries",Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,21,Male,,Black/African American,,High school/GED,"Master's (M.A., M.S.)",,,,internalist_cultural
2020-10-12 09:32:14,2020-10-12 09:38:47,IP Address,172.220.227.49,100,393,True,2020-10-12 09:38:48,R_8rgFfbeKPDwnr3z,,,,,35.4665985107421875,-79.1757965087890625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,make a medicine that Zarpies can take so other berries will not make them sick,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no,everything was fine,"I am not sure. I am guessing it was about real people and what would be the first choices for helping people. Something to do with GMO foods, lol, no idea. ",internalist_biological
2020-10-12 09:31:46,2020-10-12 09:38:59,IP Address,196.16.110.196,100,433,True,2020-10-12 09:39:00,R_24qpcWo9diQxQXa,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,"Very, very good",Will harvest again and cultivate it.,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,39,Female,,White/European American,,"Master's (M.A., M.S.)",Some college,,,,structural
2020-10-12 09:35:08,2020-10-12 09:39:40,IP Address,108.14.73.174,100,271,True,2020-10-12 09:39:40,R_2wo5MYOvzHuwN5X,,,,,40.579498291015625,-73.98889923095703125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Find a way to suppress the biological response to okinberries that makes Zarpies sick when eating them,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",Some college,,,,internalist_biological
2020-10-12 09:30:30,2020-10-12 09:39:54,IP Address,73.194.199.39,100,564,True,2020-10-12 09:39:54,R_3soevTxfEwnMy6l,,,,,39.757598876953125,-74.249603271484375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would change their belief that it's bad luck.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,45,Male,,White/European American,,Some college,Some college,no,none,To understand thoughts on cultures.,internalist_cultural
2020-10-12 09:36:44,2020-10-12 09:40:29,IP Address,24.105.199.58,100,224,True,2020-10-12 09:40:29,R_SP5yoR2FrKv7QTn,,,,,42.247802734375,-73.753997802734375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,Have them switch living spaces with the other creatures so they can both try each food.,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,24,Female,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Some college,,,,structural
2020-10-12 09:36:02,2020-10-12 09:41:08,IP Address,72.84.109.234,100,305,True,2020-10-12 09:41:08,R_3RpFfiuLa4zZCXO,,,,,36.796905517578125,-76.1797027587890625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Ask the Vawns if they will share,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,44,Female,,White/European American,,High school/GED,High school/GED,no,no,Learning about fictional characters to see if this would be easy for children,structural
2020-10-12 09:36:24,2020-10-12 09:41:39,IP Address,24.163.96.208,100,315,True,2020-10-12 09:41:39,R_22Y7JM8e2iSSu34,,,,,35.583099365234375,-78.7881011962890625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe yes,Okay,,Pretty good,Tell them it's not bad luck,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,49,Female,,White/European American,,High school/GED,High school/GED,no,"it was cute, no need",not sure,internalist_cultural
2020-10-12 09:38:45,2020-10-12 09:42:25,IP Address,174.101.136.173,100,219,True,2020-10-12 09:42:25,R_30qNWDxQlAYgvoJ,,,,,39.1497039794921875,-84.42600250244140625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,I would try to help them not get sick from them.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White/European American,Black/African American",,Some college,Some college,No.,No.,,internalist_biological
2020-10-12 09:28:57,2020-10-12 09:42:30,IP Address,73.1.141.162,100,813,True,2020-10-12 09:42:30,R_1Qgfi4oDvlELg4t,,,,,26.5991058349609375,-80.1284027099609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,A little bad,,I would tell them it is now good luck to eat them.,Very easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,68,Female,,White/European American,,High school/GED,High school/GED,no problems,no suggested changes,right and wrong,internalist_cultural
2020-10-12 09:34:17,2020-10-12 09:44:17,IP Address,98.167.113.206,100,599,True,2020-10-12 09:44:17,R_Z9qlM4AtDZsRRZv,,,,,36.058807373046875,-115.31040191650390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Okay,,Pretty good,be friendly with the others,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",High school/GED,no,nothing,I have no idea,structural
