StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,possibility_change_y,possibility_change_n,normativity_fc,normativity_notOkay,normativity_okay,switched_context_fc,switched_context_1,switched_context_2,intervention,intervention_coded_Aarthi,intervention_coded_Marianna,intervention_coded,intervention_diff,check_normativity,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
11/13/2020 19:34,11/13/2020 19:38,IP Address,45.24.161.114,100,206,TRUE,11/13/2020 19:38,R_3nIRIf5pLCCuUGq,,,,,35.80250549,-78.64050293,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,give them medicine to make the okinberries edible,modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,28,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,internalist_biological
11/13/2020 19:34,11/13/2020 19:38,IP Address,108.28.165.217,100,241,TRUE,11/13/2020 19:38,R_2yrSMHG6uLrGlFD,,,,,38.77139282,-77.06569672,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"
Okinberries",For sure okinberries,,Have them brought to their side of the planet,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,40,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,structural
11/13/2020 19:35,11/13/2020 19:38,IP Address,97.104.24.27,100,157,TRUE,11/13/2020 19:38,R_TixxZOXh9h8Q0Nj,,,,,29.55540466,-81.22070313,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,A little good,"
Okinberries",For sure okinberries,,Allow okinberries to grow everywhere on the planet instead of a certain hemisphere.,acquire okinberries,acquire okinberries,acquire okinberries,Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,29,Male,,East Asian,,"Master's (M.A., M.S.)",Working class,,,,structural
11/13/2020 19:33,11/13/2020 19:38,IP Address,67.158.39.95,100,254,TRUE,11/13/2020 19:38,R_29uhAdrwAYPdX6b,,,,,44.00509644,-103.3663025,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,Pretty good,"

Pogoberries",,For sure pogoberries,Teach the Zarpies it's okay to eat okinberries.,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,45,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,No,No,Interesting,internalist_cultural
11/13/2020 19:34,11/13/2020 19:38,IP Address,73.151.89.6,100,240,TRUE,11/13/2020 19:38,R_1Nkb1Nlh6scXtXy,,,,,37.97860718,-121.3146973,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,Change their biology to accommodate okinberries,modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,,internalist_biological
11/13/2020 19:34,11/13/2020 19:38,IP Address,73.135.17.30,100,243,TRUE,11/13/2020 19:38,R_2R4k5CEtCQYWyk4,,,,,39.33610535,-76.53890228,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,"I would make it so the Zarpie would not get sick from eating the different berry, while still making sure that it got the sufficient nutrients needed to survive off of said berry.",modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,26,Male,,"White, Caucasian, or European American",,High school/GED,Working class,Nope,Nope,How people judge others.,internalist_biological
11/13/2020 19:33,11/13/2020 19:38,IP Address,73.25.211.6,100,308,TRUE,11/13/2020 19:38,R_1gtfUve4mZdNWbX,,,,,45.66520691,-122.5214996,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,"invent some medicine that the Zarpies can take so they can safely eat okinberries without getting sick, maybe giving them the enzymes they need to be able to digest the okinberries.",modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,47,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,I think everything made sense,I felt like some of the questions were a little redundant.,I'm really not sure.  Maybe something about how people might come up with creative solutions to a challenging and limiting problem.,internalist_biological
11/13/2020 19:34,11/13/2020 19:38,IP Address,50.83.214.252,100,242,TRUE,11/13/2020 19:38,R_1Lbzeh5LhoIZE1b,,,,,41.77409363,-88.43969727,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,A little bad,,"

Pogoberries",,For sure pogoberries,Feed him small amounts at a time,modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,33,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,"None, most of it was confusing by design",None,I have no idea!,internalist_cultural
11/13/2020 19:33,11/13/2020 19:38,IP Address,173.170.131.214,100,317,TRUE,11/13/2020 19:38,R_2CWd9iVzhqWOzON,,,,,27.90319824,-82.29109955,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Okay,,Pretty good,"

Pogoberries",,For sure pogoberries,Plant okinberrie plants all over the plant so both species can eat them.,acquire okinberries,acquire okinberries,acquire okinberries,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,35,Female,,Hispanic or Latino/a,,Some college,Working class,no,no,making a children's book?,structural
11/13/2020 19:36,11/13/2020 19:38,IP Address,97.124.154.61,100,159,TRUE,11/13/2020 19:38,R_pLSdkP3hp57OXPH,,,,,33.4803009,-112.3945007,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Zarpies",Yes,For sure yes,,Okay,,"Very, very good","

Pogoberries",,Maybe pogoberries,not sure,don't know,don't know,don't know,Somewhat difficult,Should not,"Vawns,Hibbles",Junpaberries,Writing an essay about the political views of Zarpies,27,Male,,"White, Caucasian, or European American",,Some college,Middle class,no,no,no,internalist_biological
11/13/2020 19:38,11/13/2020 19:38,IP Address,174.28.224.48,100,22,TRUE,11/13/2020 19:38,R_1P5lFytsqDh7yRL,,,,,35.14100647,-106.7109985,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2020 19:33,11/13/2020 19:38,IP Address,73.187.102.199,100,311,TRUE,11/13/2020 19:38,R_3puvgzUHCnzPs5I,,,,,40.79570007,-77.86180115,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,A little bad,,"

Pogoberries",,For sure pogoberries,show that they are not unlucky,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,61,Male,,"White, Caucasian, or European American",,High school/GED,Poor,,,,internalist_cultural
11/13/2020 19:33,11/13/2020 19:39,IP Address,73.175.0.76,100,320,TRUE,11/13/2020 19:39,R_2SellAhyVXrpBEa,,,,,40.59919739,-77.57679749,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,"Very, very good","
Okinberries",For sure okinberries,,Have the Zarpies move down where the okinberries are.,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,51,Male,,"White, Caucasian, or European American",,Some college,Middle class,no problems,no,How much i pay attention.,structural
11/13/2020 19:35,11/13/2020 19:39,IP Address,208.87.234.180,100,196,TRUE,11/13/2020 19:39,R_2ebgrNvykAfCtrX,,,,,37.75100708,-97.8219986,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,"Very, very good","

Pogoberries",,Maybe pogoberries,Import,acquire okinberries,acquire okinberries,acquire okinberries,Very difficult,Should,"Zarpies,Vawns","Pogoberries,Hilaberries",Learning about Zarpies and answering questions about them,32,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,no,higher pay,no idea,structural
11/13/2020 19:33,11/13/2020 19:39,IP Address,162.227.49.254,100,404,TRUE,11/13/2020 19:39,R_1QrzRDloN2trXNa,,,,,34.8296051,-86.74539948,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,A little good,"

Pogoberries",,Maybe pogoberries,Make them tasty to the Zarpies,modify okinberries,modify okinberries,modify okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"Yes, the questions wether or not they should eat the berries. There's not enough information to make that decision. ",Make something more specific on the reason why they can't eat the berries.,no clue.,internalist_cultural
11/13/2020 19:33,11/13/2020 19:40,IP Address,68.40.247.84,100,372,TRUE,11/13/2020 19:40,R_2Y5hyEMwTdE8K5Y,,,,,42.25320435,-84.38770294,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"

Pogoberries",,Maybe pogoberries,I would make sure okinberries were available where the Zarpies live.,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,59,Female,,"White, Caucasian, or European American",,Some college,Working class,No,Nothing I can think of.,Differences between species on other planets and how we react to them maybe?,structural
11/13/2020 19:34,11/13/2020 19:40,IP Address,98.14.147.148,100,329,TRUE,11/13/2020 19:40,R_2ciu4x768zADocd,,,,,40.73640442,-73.86949921,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"

Pogoberries",,Maybe pogoberries,travel to the other side maybe they have okinberries there,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat easy,Should not,Zarpies,"Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,32,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,,structural
11/13/2020 19:40,11/13/2020 19:40,IP Address,40.133.162.62,100,14,TRUE,11/13/2020 19:40,R_3exVeqsYgqvnGDc,,,,,41.37219238,-82.10870361,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2020 19:36,11/13/2020 19:40,IP Address,208.63.89.209,100,231,TRUE,11/13/2020 19:40,R_Twmg7esZfQLCXBf,,,,,31.22009277,-82.35510254,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,Make it so they don't get sick when eating.,modify Zarpies biology,modify Zarpies biology,modify Zarpies biology,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,25,Female,,"White, Caucasian, or European American",,Some college,Working class,No.,No,How well we understand from reading a story.,internalist_biological
11/13/2020 19:34,11/13/2020 19:40,IP Address,69.137.76.125,100,368,TRUE,11/13/2020 19:40,R_Yc7KsYSzMMUILJL,,,,,35.84370422,-86.38809967,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,I would alter the berry so it wouldn't make him sick.,modify okinberries,modify okinberries,modify okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,none,nothing,reading comprehension and understanding right and wrong,internalist_biological
11/13/2020 19:37,11/13/2020 19:40,IP Address,47.27.126.234,100,210,TRUE,11/13/2020 19:40,R_3Dwp94077e1bwQW,,,,,35.59620667,-81.0338974,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Okay,,A little good,"

Pogoberries",,For sure pogoberries,I would provide the resources for okinberries to harvest in the area the zarpies live.,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,33,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,n/a,no,I dont know,structural
11/13/2020 19:35,11/13/2020 19:40,IP Address,47.6.190.95,100,357,TRUE,11/13/2020 19:41,R_vTSvcLXB4otqmeR,,,,,36.3000946,-119.1295013,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,Pretty bad,,"

Pogoberries",,For sure pogoberries,i would tell them that it is not bad luck to eat okinberries. that it is good for you.,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,modify Zarpies beliefs/culture,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,"no, the instructions were clear.",more information per slide,how you view two different people and their culture.,internalist_cultural
11/13/2020 19:33,11/13/2020 19:41,IP Address,76.20.77.141,100,467,TRUE,11/13/2020 19:41,R_1qb3Zih6DBIe84P,,,,,36.75390625,-119.7084961,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,A little bad,,"
Okinberries",For sure okinberries,,I would start planting extra okinberries due to crop failure of pogoberries.,acquire okinberries,acquire okinberries,acquire okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,68,Male,,Black or African American,,Some college,Working class,Everything is going just fine so far.,It's pretty straight forward as it is.,Kid friendly.,internalist_cultural
